

     *******************************************************************
     *                                                                 *
     *     MULTI-ION SOLUTE TRANSPORT                        CHAIN     *
     *                                                                 *
     *     FOUR SPECIES                                                *
     *     PREFERENTIAL RELEASE                                        *
     *                                                                 *
     *     FIRST-TYPE BOUNDARY CONDITION                               *
     *                                                                 *
     *     EXAMPLE 2: RADIONUCLIDE TRANSPORT                           *
     *                                                                 *
     *******************************************************************


     INPUT PARAMETERS
     ================

     NS =    4          V =       .0001          D =       .0000
     NR =    1          WC =      .3000          TP =  5000.0000
     NB =    0



     TRACER      ZERO        R          DONE          GAMMA          RLAM

        1     .00000D+00    1.000     .00006932     .00000000     .00000000
        2     .00000D+00    1.000     .00023105     .00000000     .00000000
        3     .00000D+00    1.900     .00006932     .00000000     .00000000
        4     .00000D+00    1.001     .00017329     .00000000     .00000000



     B(I)-COEFFICIENTS
     =================

      I      B(I)       I      B(I)       I      B(I)       I      B(I)
      1   .100000D+01   2   .000000D+00   3   .000000D+00   4   .000000D+00
      5   .000000D+00   6   .000000D+00   7   .000000D+00   8   .000000D+00
      9   .000000D+00  10   .000000D+00



     DISTANCE  TIME   PORE VOLUME  --------------CONCENTRATION-------------
       (X)      (T)       (VVO)      (1)        (2)        (3)        (4)
       1.00      .00       .000  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00   300.00       .032  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00   600.00       .063  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00   900.00       .095  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00  1200.00       .126  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00  1500.00       .158  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00  1800.00       .189  .0000D+00  .0000D+00  .0000D+00  .0000D+00
       1.00  2100.00       .221  .7320D-61  .8999D-62  .2208D-64  .3260D-64
       1.00  2400.00       .252  .3114D-49  .4275D-50  .1387D-52  .1250D-52
       1.00  2700.00       .284  .2451D-40  .3698D-41  .1541D-43  .9410D-44
       1.00  3000.00       .316  .2356D-33  .3861D-34  .2020D-36  .9233D-37
       1.00  3300.00       .347  .9203D-28  .1622D-28  .1046D-30  .3920D-31
       1.00  3600.00       .379  .3255D-23  .6117D-24  .4800D-26  .1590D-26
       1.00  3900.00       .410  .1815D-19  .3613D-20  .3409D-22  .1057D-22
       1.00  4200.00       .442  .2372D-16  .4974D-17  .5590D-19  .1690D-19
