

     *******************************************************************
     *                                                                 *
     *     MULTI-ION SOLUTE TRANSPORT                        CHAIN     *
     *                                                                 *
     *     FOUR SPECIES                                                *
     *     PREFERENTIAL RELEASE                                        *
     *                                                                 *
     *     FIRST-TYPE BOUNDARY CONDITION                               *
     *                                                                 *
     *     EXAMPLE 2: RADIONUCLIDE TRANSPORT                           *
     *                                                                 *
     *******************************************************************


     INPUT PARAMETERS
     ================

     NS =    4          V =       .0001          D =       .0000
     NR =    1          WC =      .3000          TP =  5000.0000
     NB =    0



     TRACER      ZERO        R          DONE          GAMMA          RLAM

        1     .00000D+00    1.000     .00006932     .00000000     .00000000
        2     .00000D+00    1.000     .00023105     .00000000     .00000000
        3     .00000D+00    1.900     .00006932     .00000000     .00000000
        4     .00000D+00    1.001     .00017329     .00000000     .00000000



     B(I)-COEFFICIENTS
     =================

      I      B(I)       I      B(I)       I      B(I)       I      B(I)
      1   .100000D+01   2   .000000D+00   3   .000000D+00   4   .000000D+00
      5   .000000D+00   6   .000000D+00   7   .000000D+00   8   .000000D+00
      9   .000000D+00  10   .000000D+00



     DISTANCE  TIME   PORE VOLUME  --------------CONCENTRATION-------------
       (X)      (T)       (VVO)      (1)        (2)        (3)        (4)
       1.00  4500.00       .473  .9719D-14  .2136D-14  .2839D-16  .8595D-17
       1.00  4800.00       .505  .1553D-11  .3562D-12  .5564D-14  .1715D-14
       1.00  5100.00       .536  .1144D-09  .2728D-10  .4983D-12  .1579D-12
       1.00  5400.00       .568  .4421D-08  .1092D-08  .2326D-10  .7618D-11
       1.00  5700.00       .600  .9939D-07  .2538D-07  .6282D-09  .2131D-09
       1.00  6000.00       .631  .1412D-05  .3714D-06  .1067D-07  .3753D-08
       1.00  6300.00       .663  .1354D-04  .3663D-05  .1220D-06  .4446D-07
       1.00  6600.00       .694  .9274D-04  .2572D-04  .9936D-06  .3094D-06
       1.00  6900.00       .726  .4744D-03  .1347D-03  .6021D-05  .2346D-05
       1.00  7200.00       .757  .1884D-02  .5464D-03  .2837D-04  .1140D-04
       1.00  7500.00       .789  .6000D-02  .1775D-02  .1071D-03  .4431D-04
       1.00  7800.00       .820  .1577D-01  .4750D-02  .3339D-03  .1418D-03
       1.00  8100.00       .852  .3502D-01  .1073D-01  .8802D-03  .3828D-03
       1.00  8400.00       .884  .6721D-01  .2090D-01  .2006D-02  .8911D-03
       1.00  8700.00       .915  .1136D+00  .3580D-01  .4030D-02  .1824D-02
       1.00  9000.00       .947  .1721D+00  .5489D-01  .7259D-02  .3337D-02
       1.00  9300.00       .978  .2376D+00  .7655D-01  .1190D-01  .5543D-02
       1.00  9600.00      1.010  .3032D+00  .9856D-01  .1802D-01  .8474D-02
       1.00  9900.00      1.041  .3627D+00  .1188D+00  .2549D-01  .1207D-01
       1.00 10200.00      1.073  .4121D+00  .1358D+00  .3407D-01  .1620D-01
       1.00 10500.00      1.105  .4498D+00  .1489D+00  .4342D-01  .2068D-01
       1.00 10800.00      1.136  .4765D+00  .1583D+00  .5323D-01  .2532D-01
       1.00 11100.00      1.168  .4941D+00  .1646D+00  .6320D-01  .2997D-01
       1.00 11400.00      1.199  .5050D+00  .1685D+00  .7311D-01  .3448D-01
       1.00 11700.00      1.231  .5112D+00  .1708D+00  .8280D-01  .3878D-01
       1.00 12000.00      1.262  .5142D+00  .1719D+00  .9215D-01  .4281D-01
       1.00 12300.00      1.294  .5139D+00  .1720D+00  .1011D+00  .4652D-01
       1.00 12600.00      1.325  .5093D+00  .1706D+00  .1095D+00  .4989D-01
       1.00 12900.00      1.357  .4972D+00  .1669D+00  .1173D+00  .5287D-01
       1.00 13200.00      1.389  .4742D+00  .1598D+00  .1242D+00  .5537D-01
       1.00 13500.00      1.420  .4373D+00  .1481D+00  .1300D+00  .5727D-01
       1.00 13800.00      1.452  .3865D+00  .1317D+00  .1343D+00  .5842D-01
       1.00 14100.00      1.483  .3250D+00  .1115D+00  .1369D+00  .5869D-01
       1.00 14400.00      1.515  .2588D+00  .8947D-01  .1376D+00  .5800D-01
       1.00 14700.00      1.546  .1946D+00  .6783D-01  .1363D+00  .5638D-01
       1.00 15000.00      1.578  .1381D+00  .4855D-01  .1333D+00  .5393D-01
       1.00 15300.00      1.609  .9255D-01  .3282D-01  .1288D+00  .5082D-01
       1.00 15600.00      1.641  .5868D-01  .2098D-01  .1232D+00  .4726D-01
       1.00 15900.00      1.673  .3526D-01  .1271D-01  .1169D+00  .4343D-01
       1.00 16200.00      1.704  .2014D-01  .7318D-02  .1100D+00  .3952D-01
       1.00 16500.00      1.736  .1096D-01  .4012D-02  .1029D+00  .3565D-01
       1.00 16800.00      1.767  .5693D-02  .2101D-02  .9563D-01  .3191D-01
       1.00 17100.00      1.799  .2833D-02  .1053D-02  .8840D-01  .2837D-01
       1.00 17400.00      1.830  .1354D-02  .5065D-03  .8125D-01  .2505D-01
       1.00 17700.00      1.862  .6224D-03  .2344D-03  .7426D-01  .2198D-01
       1.00 18000.00      1.893  .2760D-03  .1046D-03  .6747D-01  .1916D-01
       1.00 18300.00      1.925  .1183D-03  .4512D-04  .6092D-01  .1660D-01
       1.00 18600.00      1.957  .4912D-04  .1883D-04  .5464D-01  .1428D-01
       1.00 18900.00      1.988  .1979D-04  .7628D-05  .4868D-01  .1219D-01
       1.00 19200.00      2.020  .7747D-05  .3002D-05  .4304D-01  .1033D-01
       1.00 19500.00      2.051  .2953D-05  .1150D-05  .3777D-01  .8693D-02
       1.00 19800.00      2.083  .1098D-05  .4294D-06  .3287D-01  .7253D-02
       1.00 20100.00      2.114  .3983D-06  .1565D-06  .2837D-01  .6001D-02
       1.00 20400.00      2.146  .1413D-06  .5577D-07  .2426D-01  .4922D-02
       1.00 20700.00      2.177  .4909D-07  .1945D-07  .2055D-01  .4000D-02
       1.00 21000.00      2.209  .1671D-07  .6646D-08  .1724D-01  .3222D-02
       1.00 21300.00      2.241  .5581D-08  .2228D-08  .1432D-01  .2570D-02
       1.00 21600.00      2.272  .1830D-08  .7331D-09  .1177D-01  .2030D-02
       1.00 21900.00      2.304  .5900D-09  .2371D-09  .9565D-02  .1588D-02
       1.00 22200.00      2.335  .1871D-09  .7543D-10  .7690D-02  .1229D-02
       1.00 22500.00      2.367  .5844D-10  .2363D-10  .6114D-02  .9419D-03
       1.00 22800.00      2.398  .1798D-10  .7291D-11  .4806D-02  .7140D-03
       1.00 23100.00      2.430  .5456D-11  .2218D-11  .3735D-02  .5361D-03
       1.00 23400.00      2.461  .1634D-11  .6658D-12  .2869D-02  .3981D-03
       1.00 23700.00      2.493  .4829D-12  .1973D-12  .2178D-02  .2926D-03
       1.00 24000.00      2.525  .1410D-12  .5773D-13  .1635D-02  .2128D-03
       1.00 24300.00      2.556  .4063D-13  .1668D-13  .1213D-02  .1532D-03
       1.00 24600.00      2.588  .1155D-13  .4746D-14  .8894D-03  .1091D-03
       1.00 24900.00      2.619  .3220D-14  .1332D-14  .6450D-03  .7688D-04
