TITLE = "FEHM V2.30sun 07-10-26 QA:NA    10/29/2007  08:16:06"
variables = "Time (days)" "Node       1" "Node       3" "Node       5" "Node       7" "Node       9" "Node      11" 
text X=50.0 Y=95.0 AN=center T="Unsaturated Diffusion tests"
text X=50.0 Y=90.0 AN=center T="Saturation"
  0.00000000      0.250000000      0.230000000      0.210000000      0.190000000      0.170000000      0.150000000    
 0.100000000E-02  0.249999450      0.230000064      0.210000052      0.190000043      0.170000036      0.150000195    
 0.240000000E-02  0.249998679      0.230000153      0.210000125      0.190000102      0.170000085      0.150000469    
 0.436000000E-02  0.249997601      0.230000277      0.210000227      0.190000185      0.170000155      0.150000852    
 0.710400000E-02  0.249996091      0.230000450      0.210000369      0.190000302      0.170000252      0.150001388    
 0.109456000E-01  0.249993977      0.230000690      0.210000568      0.190000465      0.170000387      0.150002139    
 0.163238400E-01  0.249991017      0.230001022      0.210000847      0.190000693      0.170000575      0.150003191    
 0.238533760E-01  0.249986875      0.230001484      0.210001234      0.190001011      0.170000838      0.150004663    
 0.343947264E-01  0.249981076      0.230002122      0.210001773      0.190001454      0.170001205      0.150006724    
 0.491526170E-01  0.249972959      0.230003006      0.210002519      0.190002070      0.170001716      0.150009610    
 0.698136637E-01  0.249961596      0.230004228      0.210003552      0.190002924      0.170002429      0.150013651    
 0.987391292E-01  0.249945691      0.230005920      0.210004978      0.190004107      0.170003421      0.150019309    
 0.139234781      0.249923426      0.230008261      0.210006945      0.190005745      0.170004804      0.150027232    
 0.195928693      0.249892261      0.230011507      0.210009662      0.190008013      0.170006731      0.150038327    
 0.275300171      0.249848632      0.230016016      0.210013425      0.190011162      0.170009419      0.150053861    
 0.386420239      0.249787555      0.230022297      0.210018654      0.190015543      0.170013173      0.150075611    
 0.541988334      0.249702047      0.230031067      0.210025944      0.190021655      0.170018421      0.150106061    
 0.759783668      0.249582330      0.230043332      0.210036130      0.190030199      0.170025763      0.150148691    
  1.06469714      0.249414710      0.230060504      0.210050379      0.190042154      0.170036042      0.150208371    
  1.49157599      0.249180011      0.230084561      0.210070323      0.190058887      0.170050431      0.150291919    
