node, Porosity, X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,  0.100000000E-01 ,  -17.5868279 ,  -17.5868279 ,  -17.5868279
0000000002,  0.500000000E-01 ,  -14.3457040 ,  -14.3457040 ,  -14.3457040
0000000003,  0.100000000 ,  -12.9498279 ,  -12.9498279 ,  -12.9498279
0000000004,  0.150000000 ,  -12.1332927 ,  -12.1332927 ,  -12.1332927
0000000005,  0.155000000 ,  -12.0672598 ,  -12.0672598 ,  -12.0672598
0000000006,  0.200000000 ,  -11.5539518 ,  -11.5539518 ,  -11.5539518
