PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	Co (s)
0.1	0
10	2.25794e-08
15	4.56654e-06
20	5.22977e-05
25	0.000222704
30	0.000580498
35	0.00113338
40	0.00184251
45	0.0026553
50	0.00352799
55	0.00443231
60	0.00535216
65	0.00627996
70	0.00721165
75	0.00814496
80	0.00907925
85	0.0100124
90	0.0109407
95	0.011834
100	0.0126164
105	0.0132138
110	0.0136052
115	0.0138212
120	0.0139126
125	0.0139245
130	0.0138871
135	0.0138172
140	0.0137228
145	0.0136072
150	0.013472
