PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	FeEDTA  (Aq)
0.1	0
10	3.77831e-07
15	6.36149e-05
20	0.000550227
25	0.00174005
30	0.0033258
35	0.00477211
40	0.00578619
45	0.00637219
50	0.00666441
55	0.00679444
60	0.006847
65	0.00686665
70	0.00687353
75	0.0068758
80	0.00687652
85	0.00687668
90	0.00684383
95	0.00647928
100	0.00542364
105	0.00387249
110	0.00236376
115	0.00125595
120	0.000593406
125	0.000254452
130	0.000100843
135	3.7323e-05
140	1.2978e-05
145	4.27351e-06
150	1.34134e-06
