PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	CoEDTA (s)
0.1	0
10	3.11456e-06
15	0.000215868
20	0.00134023
25	0.00363865
30	0.00646832
35	0.00899113
40	0.0107814
45	0.0118517
50	0.0124108
55	0.0126729
60	0.0127851
65	0.0128299
70	0.0128465
75	0.0128524
80	0.0128544
85	0.0128544
90	0.0127305
95	0.0118407
100	0.00974834
105	0.0069515
110	0.00431648
115	0.00236972
120	0.00116972
125	0.000527546
130	0.000220849
135	8.65289e-05
140	3.18482e-05
145	1.10959e-05
150	3.68078e-06
