PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	FeEDTA (s)
0.1	0
10	5.69902e-08
15	1.52292e-05
20	0.000169107
25	0.000622738
30	0.00131586
35	0.00201878
40	0.00255581
45	0.00288914
50	0.00306603
55	0.00314931
60	0.00318471
65	0.00319847
70	0.00320348
75	0.00320519
80	0.00320572
85	0.00320588
90	0.00319859
95	0.00308855
100	0.00269887
105	0.00203719
110	0.00131799
115	0.000740503
120	0.000368382
125	0.000165554
130	6.85729e-05
135	2.64376e-05
140	9.53542e-06
145	3.2475e-06
150	1.0517e-06
