PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	Fe (Aq)
0.1	0
10	4.90372e-27
15	2.41556e-17
20	3.92984e-16
25	1.96127e-15
30	5.5058e-15
35	1.10703e-14
40	1.80884e-14
45	2.5887e-14
50	3.39985e-14
55	4.21957e-14
60	5.03948e-14
65	5.85757e-14
70	6.67321e-14
75	7.48574e-14
80	8.29483e-14
85	9.10088e-14
90	1.00559e-13
95	1.14459e-13
100	1.30589e-13
105	1.44864e-13
110	1.54933e-13
115	1.60457e-13
120	1.62196e-13
125	1.61232e-13
130	1.58547e-13
135	1.54717e-13
140	1.5007e-13
145	1.44929e-13
150	1.39524e-13
