PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	Co (Aq)
0.1	0
10	1.89682e-15
15	1.98446e-06
20	1.76311e-05
25	6.45063e-05
30	0.000152245
35	0.000277685
40	0.000430479
45	0.000599969
50	0.000778366
55	0.000961032
60	0.00114548
65	0.00133049
70	0.0015154
75	0.0016998
80	0.00188348
85	0.00206608
90	0.00224615
95	0.00241408
100	0.00255203
105	0.00264766
110	0.00270156
115	0.00272299
120	0.00272265
125	0.00270878
130	0.00268638
135	0.00265806
140	0.00262507
145	0.00258799
150	0.00254713
