PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	CoEDTA  (Aq)
0.1	0
10	2.31616e-05
15	0.000828235
20	0.00391216
25	0.00906981
30	0.0145744
35	0.0189703
40	0.021823
45	0.0234049
50	0.02418
55	0.0245241
60	0.0246644
65	0.0247178
70	0.0247368
75	0.0247432
80	0.0247453
85	0.0247407
90	0.0242264
95	0.021657
100	0.0167974
105	0.0112166
110	0.00653199
115	0.00337779
120	0.0015786
125	0.000677484
130	0.000270786
135	0.000101618
140	3.59771e-05
145	1.20938e-05
150	3.8807e-06
