PDREACT Solution for Multiple Species Transport
Breakthrough_curve_at_X  10.0000
Time (hours)	EDTA  (Aq)
0.1	0
10	0	1.22108e-05
15	4.17361e-13
20	2.2189e-13
25	1.40603e-13
30	9.57296e-14
35	6.83159e-14
40	5.06947e-14
45	3.90101e-14
50	3.10651e-14
55	2.55185e-14
60	2.1532e-14
65	1.8578e-14
70	1.63236e-14
75	1.45566e-14
80	1.31381e-14
85	1.19748e-14
90	1.07857e-14
95	8.97115e-15
100	6.58197e-15
105	4.23643e-15
110	2.41786e-15
115	1.24047e-15
120	5.79804e-16
125	2.50107e-16
130	1.008e-16
135	3.82303e-17
140	1.37052e-17
145	4.67304e-18
150	1.52356e-18
