TRACR3D Radionuclide Tracer - Concentration vs time
X_coordinates  0.175000000E+02 0.275000000E+02 0.375000000E+02 0.475000000E+02 0.575000000E+02 0.675000000E+02
Y_coordinates  0.225000000E+02 0.325000000E+02 0.425000000E+02 0.525000000E+02 0.625000000E+02 0.725000000E+02
Z_coordinates  0.975000000E+02 0.825000000E+02 0.625000000E+02 0.425000000E+02 0.225000000E+02 0.250000000E+01
Time yrs	Position 1	Position 2	Position 3	Position 4	Position 5	Position 6
10	0.10722	0.00032695	1.0173e-13	3.5956e-25	0	0
20	0.21975	0.0014222	1.1559e-12	9.2878e-24	0	0
30	0.31435	0.0036637	7.062e-12	9.6218e-23	0	0
40	0.38965	0.0072913	3.0784e-11	6.6681e-22	0	0
50	0.44918	0.012401	1.0727e-10	3.5814e-21	0	0
60	0.49672	0.018968	3.1756e-10	1.5984e-20	0	0
70	0.53528	0.026887	8.2933e-10	6.176e-20	4.7643e-30	0
80	0.56706	0.035998	1.9595e-09	2.1233e-19	2.5607e-29	0
90	0.59365	0.046116	4.2647e-09	6.6228e-19	1.0731e-28	0
100	0.61619	0.05705	8.6652e-09	1.9017e-18	3.9991e-28	0
110	0.63552	0.068613	1.6606e-08	5.0844e-18	1.3683e-27	0
120	0.65226	0.080634	3.0259e-08	1.2771e-17	4.3597e-27	0
130	0.66688	0.092958	5.2767e-08	3.0356e-17	1.3053e-26	0
140	0.67974	0.10545	8.8528e-08	6.8697e-17	3.6968e-26	0
150	0.69113	0.11799	1.4352e-07	1.4876e-16	9.9594e-26	0
160	0.70128	0.13049	2.2566e-07	3.0956e-16	2.564e-25	0
170	0.71036	0.14287	3.4518e-07	6.2132e-16	6.3325e-25	0
180	0.71852	0.15506	5.1507e-07	1.2066e-15	1.5056e-24	0
190	0.7259	0.16701	7.5144e-07	2.2733e-15	3.4564e-24	0
200	0.73258	0.17868	1.074e-06	4.1655e-15	7.6815e-24	0
210	0.73865	0.19004	1.5065e-06	7.4392e-15	1.6565e-23	0
220	0.7442	0.20107	2.077e-06	1.2973e-14	3.4734e-23	0
230	0.74926	0.21175	2.8183e-06	2.2128e-14	7.0951e-23	8.193e-30
240	0.75391	0.22208	3.7685e-06	3.6973e-14	1.4142e-22	2.5977e-29
250	0.75819	0.23205	4.971e-06	6.0598e-14	2.7549e-22	6.4279e-29
260	0.76212	0.24166	6.4747e-06	9.7544e-14	5.2517e-22	1.4536e-28
270	0.76576	0.25092	8.3348e-06	1.5438e-13	9.8096e-22	3.1364e-28
280	0.76912	0.25982	1.0612e-05	2.4048e-13	1.7974e-21	6.5585e-28
290	0.77224	0.26837	1.3373e-05	3.6902e-13	3.2342e-21	1.3381e-27
300	0.77513	0.27659	1.6692e-05	5.5831e-13	5.72e-21	2.6725e-27
310	0.77782	0.28447	2.0646e-05	8.3347e-13	9.9527e-21	5.2356e-27
320	0.78033	0.29204	2.5322e-05	1.2286e-12	1.7051e-20	1.0074e-26
330	0.78266	0.29929	3.0809e-05	1.7895e-12	2.8784e-20	1.9059e-26
340	0.78485	0.30625	3.7205e-05	2.5768e-12	4.7911e-20	3.5481e-26
350	0.78689	0.31292	4.4608e-05	3.6707e-12	7.8688e-20	6.5049e-26
360	0.7888	0.31932	5.3127e-05	5.1753e-12	1.2759e-19	1.1752e-25
370	0.79059	0.32544	6.2871e-05	7.2253e-12	2.0437e-19	2.0937e-25
380	0.79227	0.33132	7.3953e-05	9.9933e-12	3.2355e-19	3.6802e-25
390	0.79385	0.33694	8.6492e-05	1.3699e-11	5.0652e-19	6.3862e-25
400	0.79533	0.34233	0.00010061	1.8618e-11	7.8448e-19	1.0945e-24
410	0.79673	0.3475	0.00011642	2.5098e-11	1.2025e-18	1.8538e-24
420	0.79804	0.35245	0.00013406	3.357e-11	1.8252e-18	3.104e-24
430	0.79928	0.35719	0.00015365	4.4565e-11	2.744e-18	5.1406e-24
