TRACR3D Conservative Tracer - Concentration vs time
X_coordinates  0.175000000E+02 0.275000000E+02 0.375000000E+02 0.475000000E+02 0.575000000E+02 0.675000000E+02
Y_coordinates  0.225000000E+02 0.325000000E+02 0.425000000E+02 0.525000000E+02 0.625000000E+02 0.725000000E+02
Z_coordinates  0.975000000E+02 0.825000000E+02 0.625000000E+02 0.425000000E+02 0.225000000E+02 0.250000000E+01
Time yrs	Position 1	Position 2	Position 3	Position 4	Position 5	Position 6
10	0.10808	0.00032958	1.0255e-13	3.6245e-25	0	0
20	0.22335	0.0014515	1.1824e-12	9.5053e-24	0	0
30	0.32183	0.0037847	7.3302e-12	9.9981e-23	0	0
40	0.40147	0.0076218	3.2422e-11	7.035e-22	0	0
50	0.46546	0.013114	1.1463e-10	3.8362e-21	0	0
60	0.51739	0.020287	3.4432e-10	1.7382e-20	0	0
70	0.56019	0.029077	9.1234e-10	6.8189e-20	5.2672e-30	0
80	0.59603	0.039352	2.187e-09	2.3801e-19	2.8753e-29	0
90	0.6265	0.050949	4.829e-09	7.537e-19	1.2237e-28	0
100	0.65276	0.063683	9.9541e-09	2.1972e-18	4.6312e-28	0
110	0.67563	0.077368	1.9352e-08	5.9639e-18	1.6091e-27	0
120	0.69576	0.091824	3.5772e-08	1.5208e-17	5.2067e-27	0
130	0.71363	0.10688	6.3278e-08	3.6698e-17	1.583e-26	0
140	0.7296	0.1224	1.0769e-07	8.4311e-17	4.5529e-26	0
150	0.74398	0.13823	1.7708e-07	1.8535e-16	1.2456e-25	0
160	0.75698	0.15426	2.8241e-07	3.9155e-16	3.2563e-25	0
170	0.76882	0.17039	4.3816e-07	7.9779e-16	8.1671e-25	0
180	0.77963	0.18652	6.6312e-07	1.5727e-15	1.9719e-24	0
190	0.78955	0.2026	9.8118e-07	3.0081e-15	4.5968e-24	0
200	0.79869	0.21856	1.4223e-06	5.5954e-15	1.0374e-23	0
210	0.80713	0.23434	2.0231e-06	1.0144e-14	2.2717e-23	0
220	0.81495	0.24992	2.8286e-06	1.7957e-14	4.8371e-23	4.5936e-30
230	0.82222	0.26525	3.8923e-06	3.1092e-14	1.0033e-22	1.5642e-29
240	0.829	0.28031	5.2776e-06	5.2736e-14	2.0308e-22	4.0945e-29
250	0.83533	0.29508	7.0591e-06	8.7738e-14	4.017e-22	9.7082e-29
260	0.84126	0.30955	9.3231e-06	1.4336e-13	7.776e-22	2.1848e-28
270	0.84682	0.3237	1.2169e-05	2.3032e-13	1.4749e-21	4.7498e-28
280	0.85205	0.33754	1.5709e-05	3.6416e-13	2.7442e-21	1.0054e-27
290	0.85697	0.35105	2.0071e-05	5.6722e-13	5.0139e-21	2.08e-27
300	0.86162	0.36424	2.5398e-05	8.7109e-13	9.0045e-21	4.2161e-27
310	0.86601	0.37711	3.1849e-05	1.32e-12	1.5909e-20	8.3854e-27
320	0.87016	0.38965	3.96e-05	1.975e-12	2.7676e-20	1.6383e-26
330	0.8741	0.40187	4.8844e-05	2.9197e-12	4.7439e-20	3.1472e-26
340	0.87783	0.41378	5.979e-05	4.2675e-12	8.018e-20	5.9496e-26
350	0.88138	0.42539	7.2669e-05	6.1701e-12	1.3371e-19	1.1076e-25
360	0.88476	0.43669	8.7726e-05	8.8295e-12	2.2015e-19	2.0321e-25
370	0.88797	0.44769	0.00010523	1.2512e-11	3.5806e-19	3.6763e-25
380	0.89104	0.45841	0.00012545	1.7564e-11	5.7558e-19	6.5621e-25
390	0.89397	0.46884	0.00014871	2.4436e-11	9.1493e-19	1.1563e-24
400	0.89677	0.479	0.00017531	3.3708e-11	1.4388e-18	2.0125e-24
410	0.89944	0.4889	0.0002056	4.6118e-11	2.2394e-18	3.4613e-24
420	0.902	0.49853	0.00023993	6.2606e-11	3.4512e-18	5.8853e-24
430	0.90445	0.50791	0.00027867	8.435e-11	5.2683e-18	9.8973e-24
440	0.9068	0.51705	0.0003222	1.1283e-10	7.9689e-18	1.6469e-23
450	0.90906	0.52595	0.00037093	1.4989e-10	1.1948e-17	2.7124e-23
460	0.91123	0.53462	0.00042528	1.9779e-10	1.7763e-17	4.4236e-23
470	0.91331	0.54306	0.00048567	2.5935e-10	2.6192e-17	7.1458e-23
480	0.91531	0.55129	0.00055255	3.3798e-10	3.8319e-17	1.1438e-22
490	0.91724	0.55931	0.00062638	4.3784e-10	5.5634e-17	1.8145e-22
500	0.9191	0.56713	0.00070761	5.6398e-10	8.0182e-17	2.8539e-22
510	0.92089	0.57474	0.00079673	7.2247e-10	1.1474e-16	4.4516e-22
520	0.92261	0.58217	0.00089421	9.206e-10	1.6308e-16	6.8879e-22
530	0.92428	0.58941	0.0010006	1.1671e-09	2.3023e-16	1.0575e-21
540	0.92588	0.59648	0.0011163	1.4722e-09	3.2296e-16	1.6113e-21
550	0.92743	0.60337	0.0012418	1.8483e-09	4.5023e-16	2.4372e-21
560	0.92893	0.61008	0.0013778	2.3098e-09	6.2387e-16	3.6602e-21
570	0.93038	0.61664	0.0015246	2.8736e-09	8.5943e-16	5.4593e-21
580	0.93178	0.62304	0.0016828	3.5596e-09	1.1772e-15	8.0882e-21
590	0.93314	0.62928	0.0018529	4.391e-09	1.6037e-15	1.1905e-20
600	0.93446	0.63538	0.0020354	5.3945e-09	2.1731e-15	1.7413e-20
610	0.93573	0.64133	0.0022308	6.6014e-09	2.9293e-15	2.5313e-20
620	0.93696	0.64714	0.0024397	8.0475e-09	3.9289e-15	3.6578e-20
630	0.93816	0.65282	0.0026626	9.7742e-09	5.2438e-15	5.2548e-20
640	0.93932	0.65837	0.0028998	1.1829e-08	6.9655e-15	7.5066e-20
650	0.94045	0.66378	0.003152	1.4266e-08	9.2098e-15	1.0664e-19
660	0.94154	0.66908	0.0034196	1.7147e-08	1.2122e-14	1.5069e-19
670	0.9426	0.67425	0.0037032	2.0541e-08	1.5886e-14	2.1182e-19
680	0.94363	0.67931	0.0040031	2.453e-08	2.073e-14	2.9623e-19
690	0.94463	0.68425	0.0043198	2.9202e-08	2.6939e-14	4.1223e-19
700	0.94561	0.68909	0.0046538	3.4659e-08	3.4866e-14	5.7088e-19
710	0.94656	0.69381	0.0050056	4.1015e-08	4.4947e-14	7.8685e-19
720	0.94748	0.69844	0.0053755	4.8399e-08	5.7721e-14	1.0795e-18
730	0.94837	0.70296	0.005764	5.6953e-08	7.3848e-14	1.4744e-18
740	0.94925	0.70739	0.0061715	6.6837e-08	9.4135e-14	2.0049e-18
750	0.9501	0.71172	0.0065984	7.823e-08	1.1957e-13	2.7147e-18
760	0.95093	0.71596	0.007045	9.133e-08	1.5134e-13	3.6602e-18
770	0.95173	0.7201	0.0075118	1.0636e-07	1.9091e-13	4.915e-18
780	0.95252	0.72417	0.0079991	1.2355e-07	2.4003e-13	6.5735e-18
790	0.95329	0.72814	0.0085072	1.4319e-07	3.008e-13	8.7572e-18
800	0.95403	0.73204	0.0090364	1.6556e-07	3.7577e-13	1.1622e-17
810	0.95476	0.73585	0.0095871	1.9099e-07	4.6797e-13	1.5366e-17
820	0.95548	0.73959	0.01016	2.1985e-07	5.8103e-13	2.0242e-17
830	0.95617	0.74325	0.010754	2.5251e-07	7.1928e-13	2.657e-17
840	0.95685	0.74683	0.011371	2.8942e-07	8.8784e-13	3.4754e-17
850	0.95751	0.75035	0.01201	3.3104e-07	1.0928e-12	4.5302e-17
860	0.95816	0.75379	0.012672	3.7789e-07	1.3414e-12	5.8855e-17
870	0.95879	0.75716	0.013357	4.3051e-07	1.642e-12	7.621e-17
880	0.95941	0.76047	0.014065	4.8953e-07	2.0047e-12	9.8365e-17
890	0.96001	0.76372	0.014797	5.5559e-07	2.4412e-12	1.2656e-16
900	0.9606	0.7669	0.015552	6.294e-07	2.9651e-12	1.6233e-16
910	0.96118	0.77002	0.016331	7.1175e-07	3.5926e-12	2.0759e-16
920	0.96174	0.77308	0.017133	8.0346e-07	4.3422e-12	2.6467e-16
930	0.96229	0.77608	0.01796	9.0542e-07	5.2356e-12	3.3647e-16
940	0.96283	0.77903	0.01881	1.0186e-06	6.2982e-12	4.2652e-16
950	0.96336	0.78192	0.019685	1.1441e-06	7.559e-12	5.3916e-16
960	0.96388	0.78475	0.020584	1.2829e-06	9.0518e-12	6.7967e-16
970	0.96438	0.78753	0.021507	1.4364e-06	1.0816e-11	8.545e-16
980	0.96488	0.79026	0.022454	1.6057e-06	1.2895e-11	1.0714e-15
990	0.96536	0.79295	0.023426	1.7922e-06	1.5342e-11	1.34e-15
1000	0.96584	0.79558	0.024422	1.9974e-06	1.8215e-11	1.6716e-15
1010	0.92776	0.79804	0.025442	2.223e-06	2.1582e-11	2.08e-15
1020	0.81757	0.79997	0.026487	2.4704e-06	2.552e-11	2.5818e-15
1030	0.70873	0.80091	0.027556	2.7416e-06	3.0117e-11	3.197e-15
1040	0.61741	0.80048	0.028649	3.0385e-06	3.5474e-11	3.9494e-15
1050	0.54378	0.79846	0.029766	3.3629e-06	4.1705e-11	4.8675e-15
1060	0.48452	0.79473	0.030908	3.7172e-06	4.8939e-11	5.9853e-15
1070	0.43626	0.7893	0.032073	4.1034e-06	5.7322e-11	7.3432e-15
1080	0.39635	0.78226	0.033263	4.5241e-06	6.7022e-11	8.9894e-15
1090	0.36281	0.77375	0.034477	4.9817e-06	7.8225e-11	1.0981e-14
1100	0.33424	0.76395	0.035714	5.4789e-06	9.1143e-11	1.3385e-14
1110	0.30957	0.75304	0.036975	6.0186e-06	1.0601e-10	1.628e-14
1120	0.28805	0.74121	0.03826	6.6037e-06	1.2311e-10	1.9762e-14
1130	0.26909	0.72863	0.039568	7.2374e-06	1.4272e-10	2.3939e-14
1140	0.25227	0.71547	0.040899	7.9229e-06	1.6518e-10	2.8942e-14
1150	0.23722	0.70186	0.042253	8.6638e-06	1.9089e-10	3.4921e-14
1160	0.22368	0.68795	0.04363	9.4637e-06	2.2024e-10	4.2054e-14
1170	0.21143	0.67384	0.04503	1.0326e-05	2.5373e-10	5.0549e-14
1180	0.2003	0.65963	0.046453	1.1256e-05	2.9186e-10	6.0645e-14
1190	0.19013	0.6454	0.047897	1.2256e-05	3.3523e-10	7.2624e-14
1200	0.18082	0.63123	0.049364	1.3332e-05	3.8447e-10	8.6812e-14
1210	0.17225	0.61716	0.050853	1.4489e-05	4.4032e-10	1.0359e-13
1220	0.16434	0.60325	0.052363	1.5729e-05	5.0357e-10	1.2339e-13
1230	0.15702	0.58954	0.053895	1.706e-05	5.7511e-10	1.4672e-13
1240	0.15023	0.57604	0.055447	1.8486e-05	6.5591e-10	1.7416e-13
1250	0.14391	0.5628	0.057021	2.0013e-05	7.4705e-10	2.064e-13
1260	0.13801	0.54983	0.058614	2.1646e-05	8.4973e-10	2.4419e-13
1270	0.1325	0.53713	0.060228	2.3391e-05	9.6527e-10	2.8844e-13
1280	0.12734	0.52472	0.061862	2.5255e-05	1.0951e-09	3.4016e-13
1290	0.1225	0.51261	0.063515	2.7243e-05	1.2408e-09	4.0053e-13
1300	0.11795	0.5008	0.065187	2.9364e-05	1.4042e-09	4.7087e-13
1310	0.11367	0.48929	0.066878	3.1622e-05	1.5871e-09	5.5272e-13
1320	0.10963	0.47808	0.068587	3.4026e-05	1.7917e-09	6.4782e-13
1330	0.10581	0.46716	0.070314	3.6584e-05	2.0203e-09	7.5816e-13
1340	0.1022	0.45654	0.072058	3.9302e-05	2.2754e-09	8.8599e-13
1350	0.098783	0.4462	0.073818	4.2189e-05	2.5597e-09	1.0339e-12
1360	0.095543	0.43616	0.075595	4.5253e-05	2.8762e-09	1.2047e-12
1370	0.092467	0.42638	0.077388	4.8502e-05	3.2283e-09	1.4019e-12
1380	0.089544	0.41689	0.079196	5.1947e-05	3.6195e-09	1.629e-12
1390	0.086764	0.40765	0.081018	5.5594e-05	4.0537e-09	1.8904e-12
1400	0.084116	0.39868	0.082855	5.9455e-05	4.5351e-09	2.1907e-12
1410	0.081592	0.38995	0.084705	6.3539e-05	5.0683e-09	2.5354e-12
1420	0.079183	0.38147	0.086568	6.7855e-05	5.6582e-09	2.9305e-12
1430	0.076884	0.37323	0.088442	7.2414e-05	6.3104e-09	3.3828e-12
1440	0.074686	0.36522	0.090329	7.7227e-05	7.0306e-09	3.8999e-12
1450	0.072583	0.35743	0.092226	8.2305e-05	7.8252e-09	4.4905e-12
1460	0.07057	0.34986	0.094133	8.7658e-05	8.701e-09	5.1641e-12
1470	0.068642	0.3425	0.09605	9.3299e-05	9.6654e-09	5.9314e-12
1480	0.066794	0.33535	0.097975	9.9239e-05	1.0726e-08	6.8046e-12
1490	0.06502	0.32839	0.099908	0.00010549	1.1893e-08	7.7971e-12
1500	0.063318	0.32162	0.10185	0.00011207	1.3174e-08	8.9238e-12
1510	0.061682	0.31504	0.10379	0.00011898	1.4579e-08	1.0202e-11
1520	0.06011	0.30863	0.10575	0.00012624	1.6119e-08	1.1649e-11
1530	0.058598	0.3024	0.1077	0.00013387	1.7807e-08	1.3287e-11
1540	0.057143	0.29633	0.10967	0.00014187	1.9654e-08	1.5138e-11
1550	0.055742	0.29043	0.11163	0.00015026	2.1673e-08	1.7228e-11
1560	0.054392	0.28469	0.1136	0.00015906	2.3879e-08	1.9585e-11
1570	0.053091	0.27909	0.11557	0.00016828	2.6288e-08	2.2241e-11
1580	0.051836	0.27365	0.11754	0.00017794	2.8915e-08	2.5231e-11
1590	0.050625	0.26834	0.11951	0.00018805	3.1779e-08	2.8592e-11
1600	0.049456	0.26318	0.12148	0.00019862	3.4898e-08	3.2368e-11
1610	0.048327	0.25814	0.12344	0.00020968	3.8292e-08	3.6605e-11
1620	0.047236	0.25324	0.12541	0.00022124	4.1983e-08	4.1355e-11
1630	0.046182	0.24846	0.12737	0.00023331	4.5993e-08	4.6675e-11
1640	0.045162	0.2438	0.12933	0.00024592	5.0347e-08	5.2628e-11
1650	0.044175	0.23926	0.13128	0.00025907	5.5072e-08	5.9282e-11
1660	0.04322	0.23483	0.13323	0.0002728	6.0194e-08	6.6714e-11
1670	0.042295	0.23052	0.13518	0.00028711	6.5743e-08	7.5007e-11
1680	0.041399	0.22631	0.13711	0.00030203	7.1752e-08	8.4251e-11
1690	0.040531	0.2222	0.13904	0.00031757	7.8252e-08	9.4548e-11
1700	0.03969	0.21819	0.14096	0.00033375	8.528e-08	1.0601e-10
1710	0.038874	0.21428	0.14287	0.00035059	9.2874e-08	1.1875e-10
1720	0.038082	0.21047	0.14477	0.00036812	1.0107e-07	1.329e-10
1730	0.037314	0.20675	0.14666	0.00038635	1.0992e-07	1.486e-10
1740	0.036568	0.20311	0.14854	0.00040529	1.1946e-07	1.6602e-10
1750	0.035844	0.19956	0.15041	0.00042498	1.2973e-07	1.8533e-10
1760	0.035141	0.19609	0.15227	0.00044543	1.408e-07	2.0669e-10
1770	0.034457	0.19271	0.15411	0.00046667	1.5271e-07	2.3033e-10
1780	0.033793	0.1894	0.15594	0.00048871	1.6553e-07	2.5646e-10
1790	0.033148	0.18617	0.15775	0.00051157	1.793e-07	2.8532e-10
1800	0.03252	0.18301	0.15955	0.00053528	1.9409e-07	3.1717e-10
1810	0.031909	0.17993	0.16134	0.00055987	2.0997e-07	3.5229e-10
1820	0.031314	0.17691	0.1631	0.00058534	2.2701e-07	3.9099e-10
1830	0.030736	0.17397	0.16486	0.00061173	2.4528e-07	4.336e-10
1840	0.030173	0.17109	0.16659	0.00063906	2.6486e-07	4.8048e-10
1850	0.029624	0.16827	0.16831	0.00066735	2.8583e-07	5.3202e-10
1860	0.02909	0.16552	0.17001	0.00069662	3.0828e-07	5.8864e-10
1870	0.02857	0.16282	0.17169	0.00072691	3.3229e-07	6.5079e-10
1880	0.028062	0.16019	0.17336	0.00075822	3.5797e-07	7.1898e-10
1890	0.027568	0.15761	0.175	0.00079059	3.8541e-07	7.9372e-10
1900	0.027086	0.15509	0.17663	0.00082403	4.1472e-07	8.756e-10
1910	0.026616	0.15262	0.17823	0.00085858	4.4601e-07	9.6523e-10
1920	0.026157	0.1502	0.17982	0.00089426	4.7939e-07	1.0633e-09
1930	0.02571	0.14784	0.18138	0.00093109	5.1498e-07	1.1705e-09
1940	0.025273	0.14552	0.18292	0.00096909	5.5292e-07	1.2876e-09
1950	0.024847	0.14326	0.18444	0.0010083	5.9334e-07	1.4154e-09
1960	0.024431	0.14104	0.18595	0.0010487	6.3637e-07	1.5549e-09
1970	0.024025	0.13887	0.18743	0.0010904	6.8216e-07	1.7069e-09
1980	0.023629	0.13674	0.18888	0.0011334	7.3087e-07	1.8726e-09
1990	0.023241	0.13465	0.19032	0.0011776	7.8266e-07	2.053e-09
2000	0.022863	0.13261	0.19173	0.0012232	8.3769e-07	2.2493e-09
2010	0.022493	0.13061	0.19312	0.0012702	8.9613e-07	2.4628e-09
2020	0.022131	0.12865	0.19449	0.0013185	9.5818e-07	2.6948e-09
2030	0.021778	0.12673	0.19583	0.0013682	1.024e-06	2.9468e-09
2040	0.021432	0.12485	0.19715	0.0014194	1.0938e-06	3.2204e-09
2050	0.021094	0.123	0.19845	0.001472	1.1679e-06	3.5172e-09
2060	0.020764	0.12119	0.19972	0.0015261	1.2463e-06	3.8389e-09
2070	0.02044	0.11942	0.20097	0.0015817	1.3294e-06	4.1876e-09
2080	0.020124	0.11768	0.2022	0.0016389	1.4174e-06	4.5652e-09
2090	0.019815	0.11598	0.20341	0.0016976	1.5104e-06	4.9738e-09
2100	0.019512	0.11431	0.20459	0.0017579	1.6089e-06	5.4159e-09
2110	0.019215	0.11267	0.20574	0.0018197	1.713e-06	5.8938e-09
2120	0.018925	0.11106	0.20688	0.0018833	1.823e-06	6.4101e-09
2130	0.018641	0.10948	0.20799	0.0019485	1.9392e-06	6.9677e-09
2140	0.018362	0.10793	0.20907	0.0020153	2.062e-06	7.5695e-09
2150	0.01809	0.10641	0.21013	0.0020839	2.1915e-06	8.2187e-09
2160	0.017823	0.10493	0.21117	0.0021542	2.3282e-06	8.9186e-09
2170	0.017561	0.10346	0.21219	0.0022263	2.4723e-06	9.6728e-09
2180	0.017305	0.10203	0.21318	0.0023002	2.6243e-06	1.0485e-08
2190	0.017054	0.10062	0.21414	0.0023759	2.7844e-06	1.1359e-08
2200	0.016807	0.099235	0.21509	0.0024534	2.9531e-06	1.23e-08
2210	0.016566	0.097878	0.21601	0.0025328	3.1308e-06	1.3311e-08
2220	0.01633	0.096545	0.2169	0.0026141	3.3177e-06	1.4399e-08
2230	0.016098	0.095236	0.21778	0.0026972	3.5145e-06	1.5566e-08
2240	0.01587	0.093951	0.21863	0.0027823	3.7214e-06	1.6821e-08
2250	0.015647	0.092689	0.21946	0.0028694	3.9389e-06	1.8166e-08
2260	0.015428	0.091449	0.22026	0.0029585	4.1676e-06	1.961e-08
2270	0.015214	0.090232	0.22104	0.0030495	4.4078e-06	2.1157e-08
2280	0.015003	0.089036	0.2218	0.0031426	4.6601e-06	2.2816e-08
2290	0.014796	0.087861	0.22253	0.0032377	4.9249e-06	2.4592e-08
2300	0.014594	0.086706	0.22325	0.0033349	5.2029e-06	2.6494e-08
2310	0.014395	0.085572	0.22394	0.0034342	5.4945e-06	2.8529e-08
2320	0.014199	0.084457	0.22461	0.0035356	5.8003e-06	3.0706e-08
2330	0.014008	0.083362	0.22525	0.0036392	6.1209e-06	3.3033e-08
2340	0.013819	0.082285	0.22588	0.0037449	6.4569e-06	3.552e-08
2350	0.013635	0.081227	0.22648	0.0038528	6.8089e-06	3.8176e-08
2360	0.013453	0.080187	0.22706	0.0039629	7.1776e-06	4.1013e-08
2370	0.013275	0.079165	0.22762	0.0040752	7.5635e-06	4.404e-08
2380	0.0131	0.078159	0.22816	0.0041897	7.9674e-06	4.7269e-08
2390	0.012928	0.077171	0.22868	0.0043065	8.3901e-06	5.0712e-08
2400	0.012759	0.076199	0.22918	0.0044256	8.8321e-06	5.4382e-08
2410	0.012593	0.075244	0.22965	0.004547	9.2942e-06	5.8292e-08
2420	0.01243	0.074304	0.23011	0.0046707	9.7773e-06	6.2456e-08
2430	0.01227	0.07338	0.23054	0.0047968	1.0282e-05	6.6889e-08
2440	0.012113	0.072471	0.23096	0.0049251	1.0809e-05	7.1605e-08
2450	0.011958	0.071577	0.23136	0.0050559	1.136e-05	7.6622e-08
2460	0.011806	0.070697	0.23173	0.005189	1.1935e-05	8.1955e-08
2470	0.011656	0.069832	0.23209	0.0053246	1.2535e-05	8.7624e-08
2480	0.011509	0.06898	0.23243	0.0054625	1.316e-05	9.3646e-08
2490	0.011365	0.068143	0.23275	0.0056029	1.3813e-05	1.0004e-07
2500	0.011223	0.067319	0.23305	0.0057457	1.4494e-05	1.0683e-07
2510	0.011083	0.066508	0.23333	0.005891	1.5203e-05	1.1403e-07
2520	0.010946	0.065709	0.23359	0.0060388	1.5942e-05	1.2167e-07
2530	0.010811	0.064924	0.23384	0.0061891	1.6712e-05	1.2977e-07
2540	0.010678	0.064151	0.23407	0.0063418	1.7515e-05	1.3836e-07
2550	0.010547	0.06339	0.23428	0.0064971	1.835e-05	1.4745e-07
2560	0.010418	0.062641	0.23447	0.0066549	1.9219e-05	1.5709e-07
2570	0.010292	0.061903	0.23464	0.0068152	2.0123e-05	1.6729e-07
2580	0.010167	0.061177	0.2348	0.006978	2.1064e-05	1.7808e-07
2590	0.010045	0.060462	0.23494	0.0071434	2.2043e-05	1.895e-07
2600	0.0099244	0.059758	0.23507	0.0073114	2.306e-05	2.0158e-07
2610	0.0098058	0.059065	0.23518	0.007482	2.4118e-05	2.1435e-07
2620	0.009689	0.058383	0.23527	0.0076551	2.5217e-05	2.2784e-07
2630	0.0095742	0.057711	0.23535	0.0078309	2.6358e-05	2.421e-07
2640	0.0094611	0.057049	0.23541	0.0080092	2.7544e-05	2.5715e-07
2650	0.0093497	0.056397	0.23545	0.0081901	2.8775e-05	2.7304e-07
2660	0.0092401	0.055755	0.23548	0.0083736	3.0053e-05	2.8982e-07
2670	0.0091322	0.055122	0.2355	0.0085598	3.1379e-05	3.0751e-07
2680	0.009026	0.054499	0.2355	0.0087485	3.2756e-05	3.2617e-07
2690	0.0089214	0.053885	0.23549	0.0089399	3.4183e-05	3.4585e-07
2700	0.0088184	0.053281	0.23546	0.0091339	3.5663e-05	3.6658e-07
2710	0.0087169	0.052685	0.23542	0.0093306	3.7198e-05	3.8843e-07
2720	0.008617	0.052097	0.23536	0.0095298	3.8788e-05	4.1144e-07
2730	0.0085186	0.051519	0.23529	0.0097318	4.0436e-05	4.3567e-07
2740	0.0084216	0.050949	0.23521	0.0099363	4.2144e-05	4.6118e-07
2750	0.0083261	0.050387	0.23511	0.010143	4.3912e-05	4.8801e-07
2760	0.0082321	0.049833	0.23501	0.010353	4.5744e-05	5.1624e-07
2770	0.0081394	0.049287	0.23488	0.010566	4.764e-05	5.4592e-07
