node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Vapor Pressure (MPa), Temperature (deg C)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000012,   0.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981047 ,   5.79981047 ,   80.0000000
0000000013,   1.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981088 ,   5.79981088 ,   80.0000000
0000000014,   2.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981195 ,   5.79981195 ,   80.0000000
0000000015,   3.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981325 ,   5.79981325 ,   80.0000000
0000000016,   4.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981429 ,   5.79981429 ,   80.0000000
0000000017,   5.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981468 ,   5.79981468 ,   80.0000000
0000000018,   6.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981429 ,   5.79981429 ,   80.0000000
0000000019,   7.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981325 ,   5.79981325 ,   80.0000000
0000000020,   8.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981195 ,   5.79981195 ,   80.0000000
0000000021,   9.00000000 ,   1.00000000 ,   0.00000000 ,   5.79981088 ,   5.79981088 ,   80.0000000
0000000022,   10.0000000 ,   1.00000000 ,   0.00000000 ,   5.79981047 ,   5.79981047 ,   80.0000000
0000000023,   0.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955093 ,   5.59955093 ,   80.0000000
0000000024,   1.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955188 ,   5.59955188 ,   80.0000000
0000000025,   2.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955434 ,   5.59955434 ,   80.0000000
0000000026,   3.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955731 ,   5.59955731 ,   80.0000000
0000000027,   4.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955966 ,   5.59955966 ,   80.0000000
0000000028,   5.00000000 ,   2.00000000 ,   0.00000000 ,   5.59956054 ,   5.59956054 ,   80.0000000
0000000029,   6.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955966 ,   5.59955966 ,   80.0000000
0000000030,   7.00000000 ,   2.00000000 ,   0.00000000 ,   5.59955731 ,   5.59955731 ,   80.0000000
