node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Vapor Pressure (MPa), Temperature (deg C)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   6.00000000 ,   6.00000000 ,   80.0000000
0000000012,   0.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900225 ,   5.79900225 ,   80.0000000
0000000013,   1.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900279 ,   5.79900279 ,   80.0000000
0000000014,   2.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900420 ,   5.79900420 ,   80.0000000
0000000015,   3.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900592 ,   5.79900592 ,   80.0000000
0000000016,   4.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900729 ,   5.79900729 ,   80.0000000
0000000017,   5.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900781 ,   5.79900781 ,   80.0000000
0000000018,   6.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900729 ,   5.79900729 ,   80.0000000
0000000019,   7.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900592 ,   5.79900592 ,   80.0000000
0000000020,   8.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900420 ,   5.79900420 ,   80.0000000
0000000021,   9.00000000 ,   1.00000000 ,   0.00000000 ,   5.79900279 ,   5.79900279 ,   80.0000000
0000000022,   10.0000000 ,   1.00000000 ,   0.00000000 ,   5.79900225 ,   5.79900225 ,   80.0000000
0000000023,   0.00000000 ,   2.00000000 ,   0.00000000 ,   5.59806170 ,   5.59806170 ,   80.0000000
0000000024,   1.00000000 ,   2.00000000 ,   0.00000000 ,   5.59806295 ,   5.59806295 ,   80.0000000
0000000025,   2.00000000 ,   2.00000000 ,   0.00000000 ,   5.59806617 ,   5.59806617 ,   80.0000000
0000000026,   3.00000000 ,   2.00000000 ,   0.00000000 ,   5.59807006 ,   5.59807006 ,   80.0000000
0000000027,   4.00000000 ,   2.00000000 ,   0.00000000 ,   5.59807314 ,   5.59807314 ,   80.0000000
0000000028,   5.00000000 ,   2.00000000 ,   0.00000000 ,   5.59807431 ,   5.59807431 ,   80.0000000
0000000029,   6.00000000 ,   2.00000000 ,   0.00000000 ,   5.59807314 ,   5.59807314 ,   80.0000000
0000000030,   7.00000000 ,   2.00000000 ,   0.00000000 ,   5.59807006 ,   5.59807006 ,   80.0000000
