node, X coordinate (m), Y coordinate (m), Z coordinate (m), X stress (MPa), Y stress (MPa), Z stress (MPa), XY stress (MPa), XZ stress (MPa), YZ stress (MPa)
0000000029,   0.00000000 ,   0.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000030,   1.00000000 ,   0.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000031,   0.00000000 ,   1.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000032,   1.00000000 ,   1.00000000 ,  -300.000000 , -0.195980869E-02 , -0.195980869E-02 ,   7.35000000 , -0.304257784E-07 ,  0.181199168E-04 ,  0.181199163E-04
0000000033,   0.00000000 ,   0.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000034,   1.00000000 ,   0.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000035,   0.00000000 ,   1.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000036,   1.00000000 ,   1.00000000 ,  -200.000000 ,  0.872653851E-02 ,  0.872653851E-02 ,   4.90000000 ,  0.811096039E-07 , -0.339350849E-04 , -0.339350845E-04
0000000037,   0.00000000 ,   0.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000038,   1.00000000 ,   0.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000039,   0.00000000 ,   1.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000040,   1.00000000 ,   1.00000000 ,  -100.000000 , -0.387643650E-01 , -0.387643650E-01 ,   2.45000000 ,  0.345207840E-06 , -0.204213862E-04 , -0.204213851E-04
0000000041,   0.00000000 ,   0.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000042,   1.00000000 ,   0.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000043,   0.00000000 ,   1.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
0000000044,   1.00000000 ,   1.00000000 ,   0.00000000 , -0.100055992 , -0.100055992 ,   1.22500000 ,  0.481443089E-06 ,  0.829037449E-04 ,  0.829037461E-04
