node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Temperature (deg C), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   10.8253115 ,   100.008098 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   10.8153548 ,   100.008210 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   10.8054402 ,   100.008122 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   10.7955678 ,   100.008023 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   10.7857380 ,   100.007924 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   10.7759505 ,   100.007825 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   10.7662051 ,   100.007727 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   10.7565020 ,   100.007630 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   10.7468411 ,   100.007532 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   10.7372221 ,   100.007435 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   10.7276449 ,   100.007339 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000012,   11.0000000 ,   0.00000000 ,   0.00000000 ,   10.7181097 ,   100.007243 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000013,   12.0000000 ,   0.00000000 ,   0.00000000 ,   10.7086163 ,   100.007147 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
