Node,  X Coordinate (m),  Y Coordinate (m),  Z Coordinate (m),  Advective X Heat Flux (MW/m2),  Advective Y Heat Flux (MW/m2),  Advective Z Heat Flux (MW/m2),  Conductive X Heat Flux (MW/m2),  Conductive Y Heat Flux (MW/m2),  Conductive Z Heat Flux (MW/m2)
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.122130009E-11,    0.00000000    ,  -0.515477453E-13
0000000002,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.144045062E-04,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.160608550E-13,    0.00000000    
0000000003,    2.00000000    ,    0.00000000    ,    0.00000000    ,   0.142766477E-04,  -0.714600733E-09,    0.00000000    ,   0.260485368E-09,  -0.742397759E-13,  -0.202228007E-12
0000000004,    3.00000000    ,    0.00000000    ,    0.00000000    ,   0.141484358E-04,  -0.614744120E-09,    0.00000000    ,   0.265184704E-09,  -0.455106033E-13,  -0.419690778E-13
0000000005,    4.00000000    ,    0.00000000    ,    0.00000000    ,   0.140192328E-04,    0.00000000    ,    0.00000000    ,   0.262997398E-09,    0.00000000    ,  -0.113467712E-12
0000000006,    5.00000000    ,    0.00000000    ,    0.00000000    ,   0.138901211E-04,    0.00000000    ,  -0.264993856E-09,   0.260581121E-09,    0.00000000    ,  -0.110454455E-12
0000000007,    6.00000000    ,    0.00000000    ,    0.00000000    ,   0.137623737E-04,    0.00000000    ,  -0.729210269E-10,   0.258198512E-09,    0.00000000    ,  -0.949997585E-13
0000000008,    7.00000000    ,    0.00000000    ,    0.00000000    ,   0.136347055E-04,    0.00000000    ,    0.00000000    ,   0.255821671E-09,    0.00000000    ,  -0.674088113E-13
0000000009,    8.00000000    ,    0.00000000    ,    0.00000000    ,   0.135063815E-04,    0.00000000    ,    0.00000000    ,   0.253422643E-09,    0.00000000    ,  -0.726144904E-13
0000000010,    9.00000000    ,    0.00000000    ,    0.00000000    ,   0.133790004E-04,  -0.163914207E-09,    0.00000000    ,   0.251039865E-09,  -0.166720781E-13,  -0.543980477E-13
