node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Temperature (deg C), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   10.9965796 ,   100.009356 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   10.9866010 ,   100.009744 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   10.9766226 ,   100.009836 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   10.9666447 ,   100.009794 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   10.9566674 ,   100.009708 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   10.9466903 ,   100.009611 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   10.9367134 ,   100.009512 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   10.9267368 ,   100.009411 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   10.9167606 ,   100.009311 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   10.9067848 ,   100.009211 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   10.8968093 ,   100.009110 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000012,   11.0000000 ,   0.00000000 ,   0.00000000 ,   10.8868341 ,   100.009010 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
