Node,  X Coordinate (m),  Y Coordinate (m),  Z Coordinate (m),  Advective X Heat Flux (MW/m2),  Advective Y Heat Flux (MW/m2),  Advective Z Heat Flux (MW/m2),  Conductive X Heat Flux (MW/m2),  Conductive Y Heat Flux (MW/m2),  Conductive Z Heat Flux (MW/m2)
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.302893801E-09,  -0.812947405E-13,  -0.549012611E-13
0000000002,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.144434653E-04,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.452334618E-13,    0.00000000    
0000000003,    2.00000000    ,    0.00000000    ,    0.00000000    ,   0.143822277E-04,  -0.217172379E-09,    0.00000000    ,   0.238327582E-09,  -0.234088077E-13,  -0.150256741E-12
0000000004,    3.00000000    ,    0.00000000    ,    0.00000000    ,   0.143207057E-04,  -0.123640930E-09,    0.00000000    ,   0.267069353E-09,  -0.210083471E-14,  -0.902840554E-13
0000000005,    4.00000000    ,    0.00000000    ,    0.00000000    ,   0.142588113E-04,    0.00000000    ,    0.00000000    ,   0.267243975E-09,    0.00000000    ,  -0.102765706E-12
0000000006,    5.00000000    ,    0.00000000    ,    0.00000000    ,   0.141971283E-04,    0.00000000    ,  -0.116615339E-10,   0.266149565E-09,  -0.779004381E-14,  -0.704068356E-13
0000000007,    6.00000000    ,    0.00000000    ,    0.00000000    ,   0.141359421E-04,    0.00000000    ,    0.00000000    ,   0.265011932E-09,  -0.107434445E-13,  -0.668292429E-13
0000000008,    7.00000000    ,    0.00000000    ,    0.00000000    ,   0.140744825E-04,    0.00000000    ,    0.00000000    ,   0.263866342E-09,  -0.184036082E-13,  -0.692345765E-13
0000000009,    8.00000000    ,    0.00000000    ,    0.00000000    ,   0.140129087E-04,    0.00000000    ,    0.00000000    ,   0.262718497E-09,  -0.181711286E-13,  -0.683351999E-13
0000000010,    9.00000000    ,    0.00000000    ,    0.00000000    ,   0.139519807E-04,    0.00000000    ,    0.00000000    ,   0.261585299E-09,  -0.326691634E-14,  -0.777976467E-13
0000000011,    10.0000000    ,    0.00000000    ,    0.00000000    ,   0.138911419E-04,  -0.433330266E-10,    0.00000000    ,   0.260452718E-09,  -0.170375074E-14,  -0.951548088E-13
0000000012,    11.0000000    ,    0.00000000    ,    0.00000000    ,   0.138300288E-04,  -0.653056881E-11,    0.00000000    ,   0.259321848E-09,  -0.953814947E-14,  -0.861136570E-13
0000000013,    12.0000000    ,    0.00000000    ,    0.00000000    ,   0.137693354E-04,    0.00000000    ,    0.00000000    ,   0.258205709E-09,  -0.854883524E-14,  -0.563519663E-13
0000000014,    13.0000000    ,    0.00000000    ,    0.00000000    ,   0.137090225E-04,    0.00000000    ,    0.00000000    ,   0.257081831E-09,  -0.664974635E-14,  -0.631190076E-13
0000000015,    14.0000000    ,    0.00000000    ,    0.00000000    ,   0.136484797E-04,    0.00000000    ,    0.00000000    ,   0.255947182E-09,  -0.163137855E-13,  -0.818452634E-13
