Node,  X Coordinate (m),  Y Coordinate (m),  Z Coordinate (m),  Advective X Heat Flux (MW/m2),  Advective Y Heat Flux (MW/m2),  Advective Z Heat Flux (MW/m2),  Conductive X Heat Flux (MW/m2),  Conductive Y Heat Flux (MW/m2),  Conductive Z Heat Flux (MW/m2)
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.945836717E-11,  -0.214266649E-10,  -0.104865595E-08,  -0.159888627E-12,    0.00000000    
0000000002,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.144787418E-04,  -0.240810002E-10,    0.00000000    ,  -0.246570760E-09,    0.00000000    ,    0.00000000    
0000000003,    2.00000000    ,    0.00000000    ,    0.00000000    ,   0.144783314E-04,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,  -0.152501710E-11
0000000004,    3.00000000    ,    0.00000000    ,    0.00000000    ,   0.144774451E-04,    0.00000000    ,    0.00000000    ,   0.113196579E-09,    0.00000000    ,  -0.720289671E-12
0000000005,    4.00000000    ,    0.00000000    ,    0.00000000    ,   0.144765157E-04,    0.00000000    ,    0.00000000    ,   0.230749965E-09,    0.00000000    ,    0.00000000    
0000000006,    5.00000000    ,    0.00000000    ,    0.00000000    ,   0.144759302E-04,  -0.308516766E-10,    0.00000000    ,   0.261941062E-09,  -0.332826848E-12,    0.00000000    
0000000007,    6.00000000    ,    0.00000000    ,    0.00000000    ,   0.144754190E-04,  -0.118045190E-09,    0.00000000    ,   0.268974741E-09,  -0.337268287E-12,  -0.319934799E-13
0000000008,    7.00000000    ,    0.00000000    ,    0.00000000    ,   0.144747295E-04,  -0.980244950E-10,    0.00000000    ,   0.270498768E-09,  -0.252955685E-12,  -0.156819735E-12
0000000009,    8.00000000    ,    0.00000000    ,    0.00000000    ,   0.144739398E-04,    0.00000000    ,    0.00000000    ,   0.270927772E-09,  -0.199269849E-12,  -0.192178126E-12
0000000010,    9.00000000    ,    0.00000000    ,    0.00000000    ,   0.144731544E-04,    0.00000000    ,    0.00000000    ,   0.271079792E-09,  -0.176961166E-12,  -0.198378645E-12
0000000011,    10.0000000    ,    0.00000000    ,    0.00000000    ,   0.144724659E-04,    0.00000000    ,  -0.863667233E-11,   0.271134056E-09,  -0.171280782E-12,  -0.198812103E-12
0000000012,    11.0000000    ,    0.00000000    ,    0.00000000    ,   0.144719515E-04,    0.00000000    ,    0.00000000    ,   0.271159821E-09,  -0.172629233E-12,  -0.195556390E-12
0000000013,    12.0000000    ,    0.00000000    ,    0.00000000    ,   0.144714530E-04,  -0.361446178E-10,    0.00000000    ,   0.271174380E-09,  -0.174911209E-12,  -0.190269752E-12
0000000014,    13.0000000    ,    0.00000000    ,    0.00000000    ,   0.144707018E-04,  -0.518079111E-10,    0.00000000    ,   0.271167718E-09,  -0.175918211E-12,  -0.189266702E-12
0000000015,    14.0000000    ,    0.00000000    ,    0.00000000    ,   0.144697332E-04,  -0.223967810E-10,    0.00000000    ,   0.271154562E-09,  -0.176163775E-12,  -0.192116275E-12
0000000016,    15.0000000    ,    0.00000000    ,    0.00000000    ,   0.144688691E-04,  -0.736216434E-11,    0.00000000    ,   0.271154549E-09,  -0.175866374E-12,  -0.193226683E-12
0000000017,    16.0000000    ,    0.00000000    ,    0.00000000    ,   0.144682808E-04,  -0.118977021E-10,    0.00000000    ,   0.271158424E-09,  -0.174357118E-12,  -0.192465858E-12
0000000018,    17.0000000    ,    0.00000000    ,    0.00000000    ,   0.144678272E-04,  -0.401037177E-11,    0.00000000    ,   0.271155708E-09,  -0.171995678E-12,  -0.192597234E-12
0000000019,    18.0000000    ,    0.00000000    ,    0.00000000    ,   0.144673275E-04,    0.00000000    ,    0.00000000    ,   0.271152820E-09,  -0.170380638E-12,  -0.193457781E-12
0000000020,    19.0000000    ,    0.00000000    ,    0.00000000    ,   0.144667751E-04,    0.00000000    ,    0.00000000    ,   0.271154655E-09,  -0.170796254E-12,  -0.193171623E-12
0000000021,    20.0000000    ,    0.00000000    ,    0.00000000    ,   0.144662150E-04,    0.00000000    ,    0.00000000    ,   0.271157451E-09,  -0.173017415E-12,  -0.191169819E-12
0000000022,    21.0000000    ,    0.00000000    ,    0.00000000    ,   0.144655961E-04,    0.00000000    ,    0.00000000    ,   0.271157032E-09,  -0.175414576E-12,  -0.189143229E-12
0000000023,    22.0000000    ,    0.00000000    ,    0.00000000    ,   0.144648874E-04,    0.00000000    ,    0.00000000    ,   0.271152093E-09,  -0.176560705E-12,  -0.189018452E-12
0000000024,    23.0000000    ,    0.00000000    ,    0.00000000    ,   0.144641878E-04,  -0.875917463E-11,    0.00000000    ,   0.271144417E-09,  -0.176456724E-12,  -0.190653176E-12
0000000025,    24.0000000    ,    0.00000000    ,    0.00000000    ,   0.144635734E-04,  -0.136951234E-10,    0.00000000    ,   0.271138947E-09,  -0.175915487E-12,  -0.192776611E-12
0000000026,    25.0000000    ,    0.00000000    ,    0.00000000    ,   0.144629891E-04,    0.00000000    ,    0.00000000    ,   0.271140459E-09,  -0.175494039E-12,  -0.194501273E-12
0000000027,    26.0000000    ,    0.00000000    ,    0.00000000    ,   0.144623705E-04,    0.00000000    ,    0.00000000    ,   0.271149337E-09,  -0.175122508E-12,  -0.194718021E-12
0000000028,    27.0000000    ,    0.00000000    ,    0.00000000    ,   0.144616860E-04,    0.00000000    ,    0.00000000    ,   0.271159759E-09,  -0.174188715E-12,  -0.192817282E-12
0000000029,    28.0000000    ,    0.00000000    ,    0.00000000    ,   0.144608619E-04,    0.00000000    ,    0.00000000    ,   0.271162689E-09,  -0.172387429E-12,  -0.190380563E-12
0000000030,    29.0000000    ,    0.00000000    ,    0.00000000    ,   0.144598632E-04,    0.00000000    ,    0.00000000    ,   0.271154381E-09,  -0.170770009E-12,  -0.189219546E-12
0000000031,    30.0000000    ,    0.00000000    ,    0.00000000    ,   0.144588003E-04,    0.00000000    ,    0.00000000    ,   0.271140779E-09,  -0.170994892E-12,  -0.188723929E-12
