node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Temperature (deg C), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   10.2942577 ,   100.002956 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   10.2843948 ,   100.002869 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   10.2747580 ,   100.002772 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   10.2653466 ,   100.002677 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   10.2561603 ,   100.002584 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   10.2471992 ,   100.002494 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   10.2384620 ,   100.002406 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   10.2299472 ,   100.002320 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   10.2216537 ,   100.002236 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   10.2135793 ,   100.002155 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   10.2057222 ,   100.002076 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000012,   11.0000000 ,   0.00000000 ,   0.00000000 ,   10.1980815 ,   100.001999 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000013,   12.0000000 ,   0.00000000 ,   0.00000000 ,   10.1906548 ,   100.001924 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000014,   13.0000000 ,   0.00000000 ,   0.00000000 ,   10.1834389 ,   100.001851 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000015,   14.0000000 ,   0.00000000 ,   0.00000000 ,   10.1764316 ,   100.001780 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000016,   15.0000000 ,   0.00000000 ,   0.00000000 ,   10.1696311 ,   100.001712 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000017,   16.0000000 ,   0.00000000 ,   0.00000000 ,   10.1630345 ,   100.001645 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000018,   17.0000000 ,   0.00000000 ,   0.00000000 ,   10.1566386 ,   100.001580 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000019,   18.0000000 ,   0.00000000 ,   0.00000000 ,   10.1504400 ,   100.001518 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000020,   19.0000000 ,   0.00000000 ,   0.00000000 ,   10.1444356 ,   100.001457 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
