Node,  X Coordinate (m),  Y Coordinate (m),  Z Coordinate (m),  Advective X Heat Flux (MW/m2),  Advective Y Heat Flux (MW/m2),  Advective Z Heat Flux (MW/m2),  Conductive X Heat Flux (MW/m2),  Conductive Y Heat Flux (MW/m2),  Conductive Z Heat Flux (MW/m2)
0000000001,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000002,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.127588683E-04,    0.00000000    ,    0.00000000    ,   0.239810395E-09,    0.00000000    ,    0.00000000    
0000000003,    2.00000000    ,    0.00000000    ,    0.00000000    ,   0.955742898E-05,    0.00000000    ,    0.00000000    ,   0.179727077E-09,    0.00000000    ,    0.00000000    
0000000004,    3.00000000    ,    0.00000000    ,    0.00000000    ,   0.682402722E-05,    0.00000000    ,    0.00000000    ,   0.128327711E-09,    0.00000000    ,    0.00000000    
0000000005,    4.00000000    ,    0.00000000    ,    0.00000000    ,   0.467461391E-05,    0.00000000    ,    0.00000000    ,   0.879083789E-10,    0.00000000    ,    0.00000000    
0000000006,    5.00000000    ,    0.00000000    ,    0.00000000    ,   0.309147409E-05,    0.00000000    ,    0.00000000    ,   0.581370752E-10,    0.00000000    ,    0.00000000    
0000000007,    6.00000000    ,    0.00000000    ,    0.00000000    ,   0.198458158E-05,  -0.770588187E-13,    0.00000000    ,   0.373214387E-10,  -0.145803369E-17,    0.00000000    
0000000008,    7.00000000    ,    0.00000000    ,    0.00000000    ,   0.124236466E-05,  -0.492449001E-13,    0.00000000    ,   0.233635921E-10,  -0.959232693E-18,    0.00000000    
0000000009,    8.00000000    ,    0.00000000    ,    0.00000000    ,   0.761302702E-06,    0.00000000    ,    0.00000000    ,   0.143168852E-10,    0.00000000    ,    0.00000000    
0000000010,    9.00000000    ,    0.00000000    ,    0.00000000    ,   0.458094901E-06,    0.00000000    ,  -0.372514786E-13,   0.861483574E-11,    0.00000000    ,  -0.690647539E-18
0000000011,    10.0000000    ,    0.00000000    ,    0.00000000    ,   0.271373365E-06,    0.00000000    ,  -0.534373521E-13,   0.510339265E-11,    0.00000000    ,  -0.103597131E-17
0000000012,    11.0000000    ,    0.00000000    ,    0.00000000    ,   0.158607386E-06,  -0.104928984E-13,    0.00000000    ,   0.298273928E-11,  -0.268585154E-18,    0.00000000    
0000000013,    12.0000000    ,    0.00000000    ,    0.00000000    ,   0.916216721E-07,  -0.816937819E-13,    0.00000000    ,   0.172301935E-11,  -0.153477231E-17,    0.00000000    
0000000014,    13.0000000    ,    0.00000000    ,    0.00000000    ,   0.523888865E-07,  -0.887250735E-13,    0.00000000    ,   0.985215314E-12,  -0.164988023E-17,    0.00000000    
0000000015,    14.0000000    ,    0.00000000    ,    0.00000000    ,   0.296887288E-07,  -0.483105617E-13,  -0.230138534E-13,   0.558320583E-12,  -0.920863386E-18,  -0.422062385E-18
0000000016,    15.0000000    ,    0.00000000    ,    0.00000000    ,   0.166923797E-07,    0.00000000    ,  -0.504878948E-13,   0.313913657E-12,    0.00000000    ,  -0.920863386E-18
0000000017,    16.0000000    ,    0.00000000    ,    0.00000000    ,   0.931996498E-08,    0.00000000    ,  -0.476697139E-13,   0.175269540E-12,    0.00000000    ,  -0.882494078E-18
0000000018,    17.0000000    ,    0.00000000    ,    0.00000000    ,   0.517151828E-08,    0.00000000    ,  -0.209574818E-13,   0.972546076E-13,    0.00000000    ,  -0.422062385E-18
0000000019,    18.0000000    ,    0.00000000    ,    0.00000000    ,   0.285376692E-08,    0.00000000    ,    0.00000000    ,   0.536673809E-13,    0.00000000    ,    0.00000000    
0000000020,    19.0000000    ,    0.00000000    ,    0.00000000    ,   0.156696599E-08,    0.00000000    ,    0.00000000    ,   0.294680120E-13,    0.00000000    ,    0.00000000    
0000000021,    20.0000000    ,    0.00000000    ,    0.00000000    ,   0.856531249E-09,    0.00000000    ,    0.00000000    ,   0.161077807E-13,    0.00000000    ,    0.00000000    
0000000022,    21.0000000    ,    0.00000000    ,    0.00000000    ,   0.466263440E-09,    0.00000000    ,    0.00000000    ,   0.876846116E-14,    0.00000000    ,    0.00000000    
0000000023,    22.0000000    ,    0.00000000    ,    0.00000000    ,   0.252841333E-09,    0.00000000    ,    0.00000000    ,   0.475487809E-14,    0.00000000    ,    0.00000000    
0000000024,    23.0000000    ,    0.00000000    ,    0.00000000    ,   0.136609917E-09,    0.00000000    ,    0.00000000    ,   0.256909374E-14,    0.00000000    ,    0.00000000    
0000000025,    24.0000000    ,    0.00000000    ,    0.00000000    ,   0.735514440E-10,  -0.117102470E-14,    0.00000000    ,   0.138321354E-14,  -0.383693077E-19,    0.00000000    
0000000026,    25.0000000    ,    0.00000000    ,    0.00000000    ,   0.394643999E-10,  -0.251705970E-14,    0.00000000    ,   0.742139150E-15,  -0.383693077E-19,    0.00000000    
0000000027,    26.0000000    ,    0.00000000    ,    0.00000000    ,   0.211025163E-10,  -0.272810151E-14,    0.00000000    ,   0.396853750E-15,  -0.767386155E-19,    0.00000000    
0000000028,    27.0000000    ,    0.00000000    ,    0.00000000    ,   0.112452910E-10,  -0.239609670E-14,    0.00000000    ,   0.211453255E-15,  -0.383693077E-19,    0.00000000    
0000000029,    28.0000000    ,    0.00000000    ,    0.00000000    ,   0.597170354E-11,  -0.188136057E-14,    0.00000000    ,   0.112306964E-15,  -0.383693077E-19,    0.00000000    
0000000030,    29.0000000    ,    0.00000000    ,    0.00000000    ,   0.316006035E-11,  -0.137177180E-14,    0.00000000    ,   0.594340577E-16,    0.00000000    ,    0.00000000    
0000000031,    30.0000000    ,    0.00000000    ,    0.00000000    ,   0.166624977E-11,  -0.947114487E-15,    0.00000000    ,   0.313477244E-16,    0.00000000    ,    0.00000000    
0000000032,    31.0000000    ,    0.00000000    ,    0.00000000    ,   0.875414317E-12,  -0.625404403E-15,    0.00000000    ,   0.164604330E-16,  -0.383693077E-19,    0.00000000    
0000000033,    32.0000000    ,    0.00000000    ,    0.00000000    ,   0.458251564E-12,  -0.398920504E-15,    0.00000000    ,   0.859472493E-17,    0.00000000    ,    0.00000000    
0000000034,    33.0000000    ,    0.00000000    ,    0.00000000    ,   0.239004855E-12,  -0.249647025E-15,    0.00000000    ,   0.448920900E-17,    0.00000000    ,    0.00000000    
0000000035,    34.0000000    ,    0.00000000    ,    0.00000000    ,   0.124200682E-12,  -0.151847160E-15,    0.00000000    ,   0.234052777E-17,    0.00000000    ,    0.00000000    
0000000036,    35.0000000    ,    0.00000000    ,    0.00000000    ,   0.643059852E-13,  -0.900788234E-16,    0.00000000    ,   0.122781785E-17,    0.00000000    ,    0.00000000    
0000000037,    36.0000000    ,    0.00000000    ,    0.00000000    ,   0.331773175E-13,  -0.540472941E-16,    0.00000000    ,   0.613908924E-18,    0.00000000    ,    0.00000000    
0000000038,    37.0000000    ,    0.00000000    ,    0.00000000    ,   0.170557818E-13,  -0.308841680E-16,    0.00000000    ,   0.306954462E-18,    0.00000000    ,    0.00000000    
0000000039,    38.0000000    ,    0.00000000    ,    0.00000000    ,   0.873764587E-14,  -0.180157647E-16,    0.00000000    ,   0.191846539E-18,    0.00000000    ,    0.00000000    
0000000040,    39.0000000    ,    0.00000000    ,    0.00000000    ,   0.446018860E-14,  -0.772104201E-17,    0.00000000    ,   0.767386155E-19,    0.00000000    ,    0.00000000    
0000000041,    40.0000000    ,    0.00000000    ,    0.00000000    ,   0.226998635E-14,  -0.514736134E-17,    0.00000000    ,   0.383693077E-19,    0.00000000    ,    0.00000000    
0000000042,    41.0000000    ,    0.00000000    ,    0.00000000    ,   0.115300894E-14,  -0.257368067E-17,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000043,    42.0000000    ,    0.00000000    ,    0.00000000    ,   0.581651831E-15,    0.00000000    ,    0.00000000    ,   0.383693077E-19,    0.00000000    ,    0.00000000    
0000000044,    43.0000000    ,    0.00000000    ,    0.00000000    ,   0.293399596E-15,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000045,    44.0000000    ,    0.00000000    ,    0.00000000    ,   0.149273479E-15,  -0.257368067E-17,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000046,    45.0000000    ,    0.00000000    ,    0.00000000    ,   0.720630588E-16,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000047,    46.0000000    ,    0.00000000    ,    0.00000000    ,   0.386052100E-16,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000048,    47.0000000    ,    0.00000000    ,    0.00000000    ,   0.180157647E-16,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000049,    48.0000000    ,    0.00000000    ,    0.00000000    ,   0.102947227E-16,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000050,    49.0000000    ,    0.00000000    ,    0.00000000    ,   0.257368067E-17,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000051,    50.0000000    ,    0.00000000    ,    0.00000000    ,   0.257368067E-17,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000052,    51.0000000    ,    0.00000000    ,    0.00000000    ,   0.257368067E-17,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000053,    52.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000054,    53.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000055,    54.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000056,    55.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000057,    56.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000058,    57.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000059,    58.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000060,    59.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000061,    60.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000062,    61.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000063,    62.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000064,    63.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000065,    64.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000066,    65.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000067,    66.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000068,    67.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000069,    68.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000070,    69.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000071,    70.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000072,    71.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000073,    72.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000074,    73.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000075,    74.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000076,    75.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000077,    76.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000078,    77.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000079,    78.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000080,    79.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000081,    80.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000082,    81.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000083,    82.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000084,    83.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000085,    84.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000086,    85.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000087,    86.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000088,    87.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000089,    88.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000090,    89.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000091,    90.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000092,    91.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000093,    92.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000094,    93.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000095,    94.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000096,    95.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000097,    96.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000098,    97.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000099,    98.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000100,    99.0000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000101,    100.000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    ,    0.00000000    
0000000102,    0.00000000    ,    1.00000000    ,    0.00000000    ,    0.00000000    ,   0.642523950E-12,    0.00000000    ,    0.00000000    ,   0.120863319E-16,    0.00000000    
