node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Temperature (deg C), X Permeability (log m**2), Y Permeability (log m**2), Z Permeability (log m**2)
0000000001,   0.00000000 ,   0.00000000 ,   0.00000000 ,   10.0929982 ,   100.000938 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000002,   1.00000000 ,   0.00000000 ,   0.00000000 ,   10.0833804 ,   100.000841 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000003,   2.00000000 ,   0.00000000 ,   0.00000000 ,   10.0744744 ,   100.000752 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000004,   3.00000000 ,   0.00000000 ,   0.00000000 ,   10.0662703 ,   100.000669 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000005,   4.00000000 ,   0.00000000 ,   0.00000000 ,   10.0587518 ,   100.000593 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000006,   5.00000000 ,   0.00000000 ,   0.00000000 ,   10.0518970 ,   100.000524 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000007,   6.00000000 ,   0.00000000 ,   0.00000000 ,   10.0456789 ,   100.000461 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000008,   7.00000000 ,   0.00000000 ,   0.00000000 ,   10.0400664 ,   100.000404 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000009,   8.00000000 ,   0.00000000 ,   0.00000000 ,   10.0350250 ,   100.000353 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000010,   9.00000000 ,   0.00000000 ,   0.00000000 ,   10.0305179 ,   100.000308 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000011,   10.0000000 ,   0.00000000 ,   0.00000000 ,   10.0265069 ,   100.000267 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000012,   11.0000000 ,   0.00000000 ,   0.00000000 ,   10.0229530 ,   100.000232 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000013,   12.0000000 ,   0.00000000 ,   0.00000000 ,   10.0198174 ,   100.000200 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000014,   13.0000000 ,   0.00000000 ,   0.00000000 ,   10.0170621 ,   100.000172 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000015,   14.0000000 ,   0.00000000 ,   0.00000000 ,   10.0146504 ,   100.000148 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000016,   15.0000000 ,   0.00000000 ,   0.00000000 ,   10.0125471 ,   100.000127 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000017,   16.0000000 ,   0.00000000 ,   0.00000000 ,   10.0107194 ,   100.000108 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000018,   17.0000000 ,   0.00000000 ,   0.00000000 ,   10.0091365 ,   100.000092 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000019,   18.0000000 ,   0.00000000 ,   0.00000000 ,   10.0077699 ,   100.000078 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000020,   19.0000000 ,   0.00000000 ,   0.00000000 ,   10.0065936 ,   100.000067 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000021,   20.0000000 ,   0.00000000 ,   0.00000000 ,   10.0055841 ,   100.000056 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000022,   21.0000000 ,   0.00000000 ,   0.00000000 ,   10.0047200 ,   100.000048 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000023,   22.0000000 ,   0.00000000 ,   0.00000000 ,   10.0039823 ,   100.000040 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000024,   23.0000000 ,   0.00000000 ,   0.00000000 ,   10.0033541 ,   100.000034 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000025,   24.0000000 ,   0.00000000 ,   0.00000000 ,   10.0028203 ,   100.000028 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000026,   25.0000000 ,   0.00000000 ,   0.00000000 ,   10.0023677 ,   100.000024 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000027,   26.0000000 ,   0.00000000 ,   0.00000000 ,   10.0019848 ,   100.000020 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000028,   27.0000000 ,   0.00000000 ,   0.00000000 ,   10.0016615 ,   100.000017 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000029,   28.0000000 ,   0.00000000 ,   0.00000000 ,   10.0013890 ,   100.000014 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
0000000030,   29.0000000 ,   0.00000000 ,   0.00000000 ,   10.0011597 ,   100.000012 ,  -15.0000000 ,  -15.0000000 ,  -15.0000000
