ZONE T ="Simulation time   2003.94204    days", N =       12, E =        5, DATAPACKING = POINT, ZONETYPE = FEQUADRILATERAL, VARSHARELIST = ([1-2] =    1), CONNECTIVITYSHAREZONE = 1
 0000000001   0.100185152   0.100185152   0.327806838E-02    35.0000000   0.100000000E-97
 0000000002   0.100185152   0.100185152   0.327806838E-02    35.0000000   0.100000000E-97
 0000000003   0.100185152   0.100185152   0.322448615E-02    29.9937571   0.100000000E-97
 0000000004   0.100185152   0.100185152   0.322448615E-02    29.9937571   0.100000000E-97
 0000000005   0.100185152   0.100185152   0.317085435E-02    24.9875142   0.240182790
 0000000006   0.100185152   0.100185152   0.317085435E-02    24.9875142   0.240182790
 0000000007   0.100185154   0.100185154   0.233494126E-02    19.9956262   0.262911873
 0000000008   0.100185154   0.100185154   0.233494126E-02    19.9956262   0.262911873
 0000000009   0.100185155   0.100185155   0.169792484E-02    15.0000280   0.252320135
 0000000010   0.100185155   0.100185155   0.169792484E-02    15.0000280   0.252320135
 0000000011   0.100185157   0.100185157   0.122813000E-02   10.00000000   0.486580567
 0000000012   0.100185157   0.100185157   0.122813000E-02   10.00000000   0.486580567
