ZONE T ="Simulation time   1000.42859    days", N =       12, E =        5, DATAPACKING = POINT, ZONETYPE = FEQUADRILATERAL, VARSHARELIST = ([1-2] =    1), CONNECTIVITYSHAREZONE = 1
 0000000001   0.100274321   0.100274321   0.432274586E-02    35.0000000   0.100000000E-97
 0000000002   0.100274321   0.100274321   0.432274586E-02    35.0000000   0.100000000E-97
 0000000003   0.100274321   0.100274321   0.425182140E-02    29.9894953   0.139255891
 0000000004   0.100274321   0.100274321   0.425182140E-02    29.9894953   0.139255891
 0000000005   0.100274324   0.100274324   0.317300533E-02    24.9988252   0.259021590
 0000000006   0.100274324   0.100274324   0.317300533E-02    24.9988252   0.259021590
 0000000007   0.100274326   0.100274326   0.233597235E-02    20.0026755   0.227563414
 0000000008   0.100274326   0.100274326   0.233597235E-02    20.0026755   0.227563414
 0000000009   0.100274327   0.100274327   0.169827643E-02    15.0032280   0.207385139
 0000000010   0.100274327   0.100274327   0.169827643E-02    15.0032280   0.207385139
 0000000011   0.100274328   0.100274328   0.122813000E-02   10.00000000   0.331928369
 0000000012   0.100274328   0.100274328   0.122813000E-02   10.00000000   0.331928369
