node, X coordinate (m), Y coordinate (m), Z coordinate (m), Liquid Pressure (MPa), Hydraulic Head (m)
0000000001, 0.00000000, 0.00000000, 200.000000, 0.129050403, 202.967810
0000000002, 50.0000000, 0.00000000, 200.000000, 0.129849595, 203.049456
0000000003, 100.000000, 0.00000000, 200.000000, 0.131861180, 203.254961
0000000004, 150.000000, 0.00000000, 200.000000, 0.134417277, 203.516093
0000000005, 200.000000, 0.00000000, 200.000000, 0.136924119, 203.772194
0000000006, 250.000000, 0.00000000, 200.000000, 0.138955292, 203.979700
0000000007, 300.000000, 0.00000000, 200.000000, 0.140246022, 204.111562
0000000008, 350.000000, 0.00000000, 200.000000, 0.140672705, 204.155152
0000000009, 400.000000, 0.00000000, 200.000000, 0.140230790, 204.110006
0000000010, 450.000000, 0.00000000, 200.000000, 0.139005731, 203.984853
0000000011, 500.000000, 0.00000000, 200.000000, 0.137138141, 203.794059
0000000012, 550.000000, 0.00000000, 200.000000, 0.134790459, 203.554218
0000000013, 600.000000, 0.00000000, 200.000000, 0.132121817, 203.281587
0000000014, 650.000000, 0.00000000, 200.000000, 0.129273734, 202.990625
0000000015, 700.000000, 0.00000000, 200.000000, 0.126366057, 202.693575
0000000016, 750.000000, 0.00000000, 200.000000, 0.123501519, 202.400932
0000000017, 800.000000, 0.00000000, 200.000000, 0.120777978, 202.122693
0000000018, 850.000000, 0.00000000, 200.000000, 0.118308674, 201.870427
0000000019, 900.000000, 0.00000000, 200.000000, 0.116249582, 201.660069
0000000020, 950.000000, 0.00000000, 200.000000, 0.114822804, 201.514308
0000000021, 1000.00000, 0.00000000, 200.000000, 0.114293583, 201.460242
0000000022, 0.00000000, 50.0000000, 200.000000, 0.130263854, 203.091777
0000000023, 50.0000000, 50.0000000, 200.000000, 0.131148677, 203.182171
0000000024, 100.000000, 50.0000000, 200.000000, 0.133356699, 203.407744
0000000025, 150.000000, 50.0000000, 200.000000, 0.136144328, 203.692530
0000000026, 200.000000, 50.0000000, 200.000000, 0.138864635, 203.970438
0000000027, 250.000000, 50.0000000, 200.000000, 0.141056953, 204.194407
0000000028, 300.000000, 50.0000000, 200.000000, 0.142435791, 204.335270
0000000029, 350.000000, 50.0000000, 200.000000, 0.142870432, 204.379673
0000000030, 400.000000, 50.0000000, 200.000000, 0.142363181, 204.327852
0000000031, 450.000000, 50.0000000, 200.000000, 0.141016215, 204.190245
0000000032, 500.000000, 50.0000000, 200.000000, 0.138990205, 203.983267
0000000033, 550.000000, 50.0000000, 200.000000, 0.136465685, 203.725360
0000000034, 600.000000, 50.0000000, 200.000000, 0.133615304, 203.434163
0000000035, 650.000000, 50.0000000, 200.000000, 0.130589163, 203.125010
0000000036, 700.000000, 50.0000000, 200.000000, 0.127511617, 202.810606
0000000037, 750.000000, 50.0000000, 200.000000, 0.124487108, 202.501620
0000000038, 800.000000, 50.0000000, 200.000000, 0.121613836, 202.208085
0000000039, 850.000000, 50.0000000, 200.000000, 0.119005895, 201.941656
0000000040, 900.000000, 50.0000000, 200.000000, 0.116823765, 201.718728
0000000041, 950.000000, 50.0000000, 200.000000, 0.115302852, 201.563350
0000000042, 1000.00000, 50.0000000, 200.000000, 0.114734303, 201.505267
0000000043, 0.00000000, 100.000000, 200.000000, 0.133595314, 203.432121
0000000044, 50.0000000, 100.000000, 200.000000, 0.134692082, 203.544167
0000000045, 100.000000, 100.000000, 200.000000, 0.137408662, 203.821695
0000000046, 150.000000, 100.000000, 200.000000, 0.140816927, 204.169886
0000000047, 200.000000, 100.000000, 200.000000, 0.144123217, 204.507659
0000000048, 250.000000, 100.000000, 200.000000, 0.146761880, 204.777227
0000000049, 300.000000, 100.000000, 200.000000, 0.148378645, 204.942396
0000000050, 350.000000, 100.000000, 200.000000, 0.148817085, 204.987188
0000000051, 400.000000, 100.000000, 200.000000, 0.148101383, 204.914071
0000000052, 450.000000, 100.000000, 200.000000, 0.146387769, 204.739007
0000000053, 500.000000, 100.000000, 200.000000, 0.143899595, 204.484813
0000000054, 550.000000, 100.000000, 200.000000, 0.140871390, 204.175450
0000000055, 600.000000, 100.000000, 200.000000, 0.137513999, 203.832457
0000000056, 650.000000, 100.000000, 200.000000, 0.134000146, 203.473479
0000000057, 700.000000, 100.000000, 200.000000, 0.130464824, 203.112308
0000000058, 750.000000, 100.000000, 200.000000, 0.127015533, 202.759926
0000000059, 800.000000, 100.000000, 200.000000, 0.123750443, 202.426362
0000000060, 850.000000, 100.000000, 200.000000, 0.120785807, 202.123493
0000000061, 900.000000, 100.000000, 200.000000, 0.118294247, 201.868953
0000000062, 950.000000, 100.000000, 200.000000, 0.116544055, 201.690152
0000000063, 1000.00000, 100.000000, 200.000000, 0.115883759, 201.622696
0000000064, 0.00000000, 150.000000, 200.000000, 0.138532467, 203.936504
0000000065, 50.0000000, 150.000000, 200.000000, 0.139925715, 204.078839
0000000066, 100.000000, 150.000000, 200.000000, 0.143380046, 204.431736
0000000067, 150.000000, 150.000000, 200.000000, 0.147722802, 204.875395
0000000068, 200.000000, 150.000000, 200.000000, 0.151939233, 205.306149
0000000069, 250.000000, 150.000000, 200.000000, 0.155280302, 205.647474
0000000070, 300.000000, 150.000000, 200.000000, 0.157254305, 205.849140
0000000071, 350.000000, 150.000000, 200.000000, 0.157647269, 205.889286
0000000072, 400.000000, 150.000000, 200.000000, 0.156529916, 205.775136
