node, Temperature (deg C)
0000000001, 160.009663
0000000002, 160.068443
0000000003, 160.164107
0000000004, 160.313298
0000000005, 160.701481
0000000006, 161.298332
0000000007, 162.093299
0000000008, 163.047718
0000000009, 164.098711
0000000010, 165.172283
0000000011, 166.197517
0000000012, 167.118067
0000000013, 167.898604
0000000014, 168.525743
0000000015, 169.004591
0000000016, 169.352888
0000000017, 169.594735
0000000018, 169.755352
0000000019, 169.857550
0000000020, 169.919950
0000000021, 169.956563
0000000022, 169.977234
0000000023, 169.988477
0000000024, 169.994376
0000000025, 169.997362
0000000026, 169.998823
0000000027, 169.999512
0000000028, 169.999826
0000000029, 169.999962
0000000030, 170.000018
0000000031, 170.000039
0000000032, 170.000045
0000000033, 170.000044
0000000034, 170.000041
0000000035, 170.000038
0000000036, 170.000035
0000000037, 170.000031
0000000038, 170.000029
0000000039, 170.000027
0000000040, 170.000025
0000000041, 170.000024
0000000042, 170.000024
0000000043, 160.009663
0000000044, 160.068443
0000000045, 160.164107
0000000046, 160.313298
0000000047, 160.701481
0000000048, 161.298332
0000000049, 162.093299
0000000050, 163.047718
0000000051, 164.098711
0000000052, 165.172283
0000000053, 166.197517
0000000054, 167.118067
0000000055, 167.898604
0000000056, 168.525743
0000000057, 169.004591
0000000058, 169.352888
0000000059, 169.594735
0000000060, 169.755352
0000000061, 169.857550
0000000062, 169.919950
0000000063, 169.956563
0000000064, 169.977234
0000000065, 169.988477
0000000066, 169.994376
0000000067, 169.997362
0000000068, 169.998823
0000000069, 169.999512
0000000070, 169.999826
0000000071, 169.999962
0000000072, 170.000018
0000000073, 170.000039
0000000074, 170.000045
0000000075, 170.000044
0000000076, 170.000041
0000000077, 170.000038
0000000078, 170.000035
0000000079, 170.000031
0000000080, 170.000029
0000000081, 170.000027
0000000082, 170.000025
0000000083, 170.000024
0000000084, 170.000024
