node, Temperature (deg C)
0000000001, 160.000121
0000000002, 160.000785
0000000003, 160.001065
0000000004, 160.001237
0000000005, 160.001366
0000000006, 160.001474
0000000007, 160.001573
0000000008, 160.001669
0000000009, 160.001767
0000000010, 160.001870
0000000011, 160.001983
0000000012, 160.002107
0000000013, 160.002246
0000000014, 160.002402
0000000015, 160.002577
0000000016, 160.002775
0000000017, 160.002997
0000000018, 160.003246
0000000019, 160.003525
0000000020, 160.003837
0000000021, 160.004183
0000000022, 160.004566
0000000023, 160.004990
0000000024, 160.005456
0000000025, 160.005968
0000000026, 160.006527
0000000027, 160.007137
0000000028, 160.007801
0000000029, 160.008522
0000000030, 160.009301
0000000031, 160.010143
0000000032, 160.011050
0000000033, 160.012024
0000000034, 160.013069
0000000035, 160.014188
0000000036, 160.015384
0000000037, 160.016660
0000000038, 160.018018
0000000039, 160.019463
0000000040, 160.020998
0000000041, 160.021797
0000000042, 160.022618
0000000043, 160.023463
0000000044, 160.024332
0000000045, 160.025225
0000000046, 160.026143
0000000047, 160.027086
0000000048, 160.028055
0000000049, 160.029049
0000000050, 160.030070
0000000051, 160.031118
0000000052, 160.032192
0000000053, 160.033295
0000000054, 160.034425
0000000055, 160.035583
0000000056, 160.036771
0000000057, 160.037987
0000000058, 160.039233
0000000059, 160.040509
0000000060, 160.041815
0000000061, 160.043152
0000000062, 160.044520
0000000063, 160.045919
0000000064, 160.047350
0000000065, 160.048814
0000000066, 160.050311
0000000067, 160.051840
0000000068, 160.053403
0000000069, 160.055000
0000000070, 160.056631
0000000071, 160.058298
0000000072, 160.059999
0000000073, 160.061736
0000000074, 160.063508
0000000075, 160.065317
0000000076, 160.067163
0000000077, 160.069046
0000000078, 160.070967
0000000079, 160.072926
0000000080, 160.074923
0000000081, 160.076958
0000000082, 160.079033
0000000083, 160.081148
0000000084, 160.083303
0000000085, 160.085498
0000000086, 160.087733
0000000087, 160.090011
0000000088, 160.092329
0000000089, 160.094690
0000000090, 160.097093
0000000091, 160.099540
0000000092, 160.102029
0000000093, 160.104562
0000000094, 160.107139
0000000095, 160.109761
0000000096, 160.112427
0000000097, 160.115139
0000000098, 160.117896
0000000099, 160.120700
0000000100, 160.123550
0000000101, 160.126447
0000000102, 160.129391
0000000103, 160.132383
0000000104, 160.135423
0000000105, 160.138512
0000000106, 160.141649
0000000107, 160.144836
0000000108, 160.148072
0000000109, 160.151359
0000000110, 160.154696
0000000111, 160.158084
0000000112, 160.161523
0000000113, 160.165014
0000000114, 160.168556
0000000115, 160.172152
0000000116, 160.175800
0000000117, 160.179501
0000000118, 160.183256
0000000119, 160.187065
0000000120, 160.190820
0000000121, 160.318408
0000000122, 160.494792
0000000123, 160.722283
0000000124, 161.003003
0000000125, 161.336807
0000000126, 161.721280
0000000127, 162.151871
0000000128, 162.622160
0000000129, 163.124230
0000000130, 163.649112
0000000131, 164.187258
0000000132, 164.729027
0000000133, 165.265124
0000000134, 165.786995
0000000135, 166.287134
0000000136, 166.759304
0000000137, 167.198671
0000000138, 167.601836
0000000139, 167.966800
0000000140, 168.292857
0000000141, 168.580437
0000000142, 168.830922
0000000143, 169.046438
0000000144, 169.229654
0000000145, 169.383589
0000000146, 169.511438
0000000147, 169.616422
0000000148, 169.701674
0000000149, 169.770146
0000000150, 169.824549
0000000151, 169.867316
0000000152, 169.900583
0000000153, 169.926194
0000000154, 169.945710
0000000155, 169.960432
0000000156, 169.971427
0000000157, 169.979557
0000000158, 169.985512
0000000159, 169.989830
0000000160, 169.992932
0000000161, 169.995139
0000000162, 169.996694
0000000163, 169.997780
0000000164, 169.998531
0000000165, 169.999045
0000000166, 169.999394
0000000167, 169.999628
0000000168, 169.999783
0000000169, 169.999885
0000000170, 169.999951
0000000171, 169.999993
0000000172, 170.000019
0000000173, 170.000035
