ZONE T ="Simulation time   3003.94204    days", N =       12, E =        5, DATAPACKING = POINT, ZONETYPE = FEQUADRILATERAL, VARSHARELIST = ([1-2] =    1), CONNECTIVITYSHAREZONE = 1
 0000000001   0.100379423   0.100379423   0.327815784E-02    35.0000000   0.100000000E-97
 0000000002   0.100379423   0.100379423   0.327815784E-02    35.0000000   0.100000000E-97
 0000000003   0.100379423   0.100379423   0.322457676E-02    29.9940027   0.100000000E-97
 0000000004   0.100379423   0.100379423   0.322457676E-02    29.9940027   0.100000000E-97
 0000000005   0.100379423   0.100379423   0.317094773E-02    24.9880054   0.763903075E-01
 0000000006   0.100379423   0.100379423   0.317094773E-02    24.9880054   0.763903075E-01
 0000000007   0.100379426   0.100379426   0.233515351E-02    19.9970775   0.311773775
 0000000008   0.100379426   0.100379426   0.233515351E-02    19.9970775   0.311773775
 0000000009   0.100379427   0.100379427   0.169802876E-02    15.0009739   0.303748145
 0000000010   0.100379427   0.100379427   0.169802876E-02    15.0009739   0.303748145
 0000000011   0.100379431   0.100379431   0.122813000E-02   10.00000000   0.612981020
 0000000012   0.100379431   0.100379431   0.122813000E-02   10.00000000   0.612981020
