ZONE T ="Simulation time   5000.00000    days", N =       12, E =        5, DATAPACKING = POINT, ZONETYPE = FEQUADRILATERAL, VARSHARELIST = ([1-2] =    1), CONNECTIVITYSHAREZONE = 1
 0000000001   0.100096305   0.100096305   0.245452011E-02    35.0000000   0.100000000E-97
 0000000002   0.100096305   0.100096305   0.245452011E-02    35.0000000   0.100000000E-97
 0000000003   0.100096305   0.100096305   0.241451722E-02    29.9974092   0.100000000E-97
 0000000004   0.100096305   0.100096305   0.241451722E-02    29.9974092   0.100000000E-97
 0000000005   0.100096305   0.100096305   0.237449437E-02    24.9948183   0.100000000E-97
 0000000006   0.100096305   0.100096305   0.237449437E-02    24.9948183   0.100000000E-97
 0000000007   0.100096305   0.100096305   0.233444429E-02    19.9922275   0.172673536
 0000000008   0.100096305   0.100096305   0.233444429E-02    19.9922275   0.172673536
 0000000009   0.100096308   0.100096308   0.169785070E-02    14.9993531   0.434540238
 0000000010   0.100096308   0.100096308   0.169785070E-02    14.9993531   0.434540238
 0000000011   0.100096318   0.100096318   0.122813000E-02   10.00000000   0.781806033
 0000000012   0.100096318   0.100096318   0.122813000E-02   10.00000000   0.781806033
