ZONE T ="Simulation time   4007.90477    days", N =       12, E =        5, DATAPACKING = POINT, ZONETYPE = FEQUADRILATERAL, VARSHARELIST = ([1-2] =    1), CONNECTIVITYSHAREZONE = 1
 0000000001   0.100017168   0.100017168   0.245443858E-02    35.0000000   0.100000000E-97
 0000000002   0.100017168   0.100017168   0.245443858E-02    35.0000000   0.100000000E-97
 0000000003   0.100017168   0.100017168   0.241443549E-02    29.9972174   0.100000000E-97
 0000000004   0.100017168   0.100017168   0.241443549E-02    29.9972174   0.100000000E-97
 0000000005   0.100017168   0.100017168   0.237441244E-02    24.9944349   0.100000000E-97
 0000000006   0.100017168   0.100017168   0.237441244E-02    24.9944349   0.100000000E-97
 0000000007   0.100017168   0.100017168   0.233436019E-02    19.9916523   0.279760971
 0000000008   0.100017168   0.100017168   0.233436019E-02    19.9916523   0.279760971
 0000000009   0.100017170   0.100017170   0.169777664E-02    14.9986789   0.362535462
 0000000010   0.100017170   0.100017170   0.169777664E-02    14.9986789   0.362535462
 0000000011   0.100017177   0.100017177   0.122813000E-02   10.00000000   0.711849875
 0000000012   0.100017177   0.100017177   0.122813000E-02   10.00000000   0.711849875
